ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,35,Ashley McConnell,McConnell,Ashley,Running Back,RB,6'0,72,247,JR,"Adairsville, GA",Adairsville,GA,Adairsville,http://www.und.com/sports/m-footbl/mtt/mcconnell_ashley00.html
ND,FBALL,2005-2006,5,Rhema McKnight,McKnight,Rhema,Wide Receiver,WR,6'2,74,207,SR,"La Palma, CA",La Palma,CA,Kennedy,http://www.und.com/sports/m-footbl/mtt/mcknight_rhema00.html
ND,FBALL,2005-2006,37,Matt Mitchell,Mitchell,Matt,Defensive Back,DB,5'8,68,187,SR,"Memphis, TN",Memphis,TN,Christian Brothers,http://www.und.com/sports/m-footbl/mtt/mitchell_matt00.html
ND,FBALL,2005-2006,12,Marty Mooney,Mooney,Marty,Quarterback,QB,6'2,74,207,SR,"Cincinnati, OH, OH","Cincinnati, OH",OH,St. Xavier,http://www.und.com/sports/m-footbl/mtt/mooney_marty00.html
ND,FBALL,2005-2006,76,Bob Morton,Morton,Bob,Offensive Line,OL,6'4,76,292,SR,"McKinney, TX",McKinney,TX,McKinney,http://www.und.com/sports/m-footbl/mtt/morton_bob00.html
ND,FBALL,2005-2006,18,Chinedum Ndukwe,Ndukwe,Chinedum,Defensive Back,DB,6'2,74,219,JR,"Powell, OH",Powell,OH,Dublin Coffman,http://www.und.com/sports/m-footbl/mtt/ndukwe_chinedum00.html
ND,FBALL,2005-2006,84,Michael O'Hara,O'Hara,Michael,Wide Receiver,WR,5'11,71,180,SR,"Bellevue, WA",Bellevue,WA,Newport,http://www.und.com/sports/m-footbl/mtt/ohara_michael00.html
ND,FBALL,2005-2006,38,Nick Possley,Possley,Nick,Wide Receiver,WR,6'1,73,183,SO,"Wheaton, IL",Wheaton,IL,Warrenville South,http://www.und.com/sports/m-footbl/mtt/possley_nick01.html
ND,FBALL,2005-2006,16,Rashon Powers-Neal,Powers-Neal,Rashon,Running Back,RB,6'3,75,238,SR,"St. Paul, MN",St. Paul,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/powers-neal_rashon01.html
ND,FBALL,2005-2006,17,Geoffrey Price,Price,Geoffrey,Punter,P,6'3,75,186,JR,"Hurst, TX",Hurst,TX,Colleyville Heritage,http://www.und.com/sports/m-footbl/mtt/price_geoffrey00.html
ND,FBALL,2005-2006,10,Brady Quinn,Quinn,Brady,Quarterback,QB,6'4,76,231,JR,"Dublin, OH",Dublin,OH,Coffman,http://www.und.com/sports/m-footbl/mtt/quinn_brady00.html
ND,FBALL,2005-2006,48,Steve Quinn,Quinn,Steve,Linebacker,LB,6'2,74,215,FR,"Cherry Hill, NJ",Cherry Hill,NJ,St. Joseph's (Philadelphia),http://www.und.com/sports/m-footbl/mtt/quinn_steve00.html
ND,FBALL,2005-2006,62,Scott Raridon,Raridon,Scott,Offensive Line,OL,6'7,79,304,SR,"Mason City, IA",Mason City,IA,Mason City,http://www.und.com/sports/m-footbl/mtt/raridon_scott00.html
ND,FBALL,2005-2006,96,Bobby Renkes,Renkes,Bobby,Kicker,K,6'0,72,195,JR,"Dallas, TX",Dallas,TX,Lake Highlands,http://www.und.com/sports/m-footbl/mtt/renkes_bobby00.html
ND,FBALL,2005-2006,32,Alvin Reynolds,Reynolds,Alvin,Defensive Back,DB,5'11,71,180,SO,"Charlotte, NC",Charlotte,NC,Country Day,http://www.und.com/sports/m-footbl/mtt/reynolds_alvin00.html
ND,FBALL,2005-2006,30,Mike Richardson,Richardson,Mike,Defensive Back,DB,5'11,71,193,SR,"Warner Robins, GA",Warner Robins,GA,Warner Robins,http://www.und.com/sports/m-footbl/mtt/richardson_mike00.html
ND,FBALL,2005-2006,43,Anthony Salvador,Salvador,Anthony,Linebacker,LB,6'2,74,233,SR,"Concord, CA",Concord,CA,De La Salle,http://www.und.com/sports/m-footbl/mtt/salvador_anthony00.html
ND,FBALL,2005-2006,83,Jeff Samardzija,Samardzija,Jeff,Wide Receiver,WR,6'5,77,216,JR,"Valparaiso, IN",Valparaiso,IN,Valparaiso,http://www.und.com/sports/m-footbl/mtt/samardzija_jeff00.html
ND,FBALL,2005-2006,50,Dan Santucci,Santucci,Dan,Offensive Line,OL,6'4,76,290,SR,"Chicago, IL",Chicago,IL,St. Patrick's,http://www.und.com/sports/m-footbl/mtt/santucci_dan00.html
ND,FBALL,2005-2006,25,Nate Schiccatano,Schiccatano,Nate,Defensive Line,DL,6'2,74,237,SR,"Coal Township, PA",Coal Township,PA,Southern Columbia,http://www.und.com/sports/m-footbl/mtt/schiccatano_nate00.html
ND,FBALL,2005-2006,44,Asaph Schwapp,Schwapp,Asaph,Running Back,RB,6'0,72,250,FR,"Hartford, CT",Hartford,CT,Weaver,http://www.und.com/sports/m-footbl/mtt/schwapp_asaph00.html
ND,FBALL,2005-2006,13,Evan Sharpley,Sharpley,Evan,Quarterback,QB,6'2,74,207,FR,"Marshall, MI",Marshall,MI,Marshall,http://www.und.com/sports/m-footbl/mtt/sharpley_evan00.html
ND,FBALL,2005-2006,82,Matt Shelton,Shelton,Matt,Wide Receiver,WR,6'0,72,172,SR,"Collierville, TN",Collierville,TN,Collierville,http://www.und.com/sports/m-footbl/mtt/shelton_matt00.html
ND,FBALL,2005-2006,41,Scott Smith,Smith,Scott,Linebacker,LB,6'3,75,234,FR,"Highland Park, IL",Highland Park,IL,Highland Park,http://www.und.com/sports/m-footbl/mtt/smith_scott00.html
ND,FBALL,2005-2006,57,"Dwight Stephenson, Jr.","Stephenson, Jr.",Dwight,Defensive Line,DL,6'2,74,252,JR,"Delray Beach, FL",Delray Beach,FL,Pope John Paul II,http://www.und.com/sports/m-footbl/mtt/stephensonjr_dwight00.html
ND,FBALL,2005-2006,74,Dan Stevenson,Stevenson,Dan,Offensive Line,OL,6'6,78,292,SR,"Barrington, IL",Barrington,IL,Barrington,http://www.und.com/sports/m-footbl/mtt/stevenson_dan00.html
ND,FBALL,2005-2006,21,Maurice Stovall,Stovall,Maurice,Wide Receiver,WR,6'5,77,222,SR,"Philadelphia, PA",Philadelphia,PA,Archbishop Carroll,http://www.und.com/sports/m-footbl/mtt/stovall_maurice00.html
ND,FBALL,2005-2006,78,John Sullivan,Sullivan,John,Offensive Line,OL,6'4,76,298,JR,"Old Greenwich, CT",Old Greenwich,CT,Greenwich,http://www.und.com/sports/m-footbl/mtt/sullivan_john00.html
ND,FBALL,2005-2006,86,Mike Talerico,Talerico,Mike,Tight End,TE,6'5,77,245,SO,"St. Louis, MO",St. Louis,MO,University,http://www.und.com/sports/m-footbl/mtt/talerico_mike00.html
ND,FBALL,2005-2006,99,Ronald Talley,Talley,Ronald,Defensive Line,DL,6'4,76,261,SO,"Oak Park, MI",Oak Park,MI,Renaissance,http://www.und.com/sports/m-footbl/mtt/talley_ronald00.html
ND,FBALL,2005-2006,47,Mitchell Thomas,Thomas,Mitchell,Linebacker,LB,6'3,75,240,JR,"Opelika, AL",Opelika,AL,Smiths Station,http://www.und.com/sports/m-footbl/mtt/thomas_mitchell00.html
ND,FBALL,2005-2006,26,Travis Thomas,Thomas,Travis,Running Back,RB,6'0,72,215,JR,"Washington, PA",Washington,PA,Washington,http://www.und.com/sports/m-footbl/mtt/thomas_travis00.html
ND,FBALL,2005-2006,63,Jeff Tisak,Tisak,Jeff,Offensive Line,OL,6'3,75,305,FR,"Ambridge, PA",Ambridge,PA,Duluth East,http://www.und.com/sports/m-footbl/mtt/tisak_jeff00.html
ND,FBALL,2005-2006,77,Michael Turkovich,Turkovich,Michael,Offensive Line,OL,6'6,78,290,FR,"Bedford, PA",Bedford,PA,Valley Forge Military Academy,http://www.und.com/sports/m-footbl/mtt/turkovich_michael00.html
