"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"512","NFL","Franchise","New York Giants","Franchise Value","Estimated",1299.11504424779,"Dollars_Millions",2011,"Forbes"
"513","NFL","Franchise","Houston Texans","Franchise Value","Estimated",1197.24770642202,"Dollars_Millions",2011,"Forbes"
"514","NFL","Franchise","New York Jets","Franchise Value","Estimated",1222.85714285714,"Dollars_Millions",2011,"Forbes"
"515","NFL","Franchise","Philadelphia Eagles","Franchise Value","Estimated",1166.66666666667,"Dollars_Millions",2011,"Forbes"
"516","NFL","Franchise","Chicago Bears","Franchise Value","Estimated",1091.74311926605,"Dollars_Millions",2011,"Forbes"
"517","NFL","Franchise","San Francisco 49ers","Franchise Value","Estimated",987.394957983193,"Dollars_Millions",2011,"Forbes"
"518","NFL","Franchise","Green Bay Packers","Franchise Value","Estimated",1085.04672897196,"Dollars_Millions",2011,"Forbes"
"519","NFL","Franchise","Baltimore Ravens","Franchise Value","Estimated",1091.50943396226,"Dollars_Millions",2011,"Forbes"
"520","NFL","Franchise","Indianapolis Colts","Franchise Value","Estimated",1058.71559633028,"Dollars_Millions",2011,"Forbes"
"521","NFL","Franchise","Denver Broncos","Franchise Value","Estimated",1048.14814814815,"Dollars_Millions",2011,"Forbes"
"522","NFL","Franchise","Pittsburgh Steelers","Franchise Value","Estimated",1018.51851851852,"Dollars_Millions",2011,"Forbes"
"523","NFL","Franchise","Miami Dolphins","Franchise Value","Estimated",1009.52380952381,"Dollars_Millions",2011,"Forbes"
"524","NFL","Franchise","Carolina Panthers","Franchise Value","Estimated",998.095238095238,"Dollars_Millions",2011,"Forbes"
"525","NFL","Franchise","Seattle Seahawks","Franchise Value","Estimated",1000,"Dollars_Millions",2011,"Forbes"
"526","NFL","Franchise","Tampa Bay Buccaneers","Franchise Value","Estimated",983.809523809524,"Dollars_Millions",2011,"Forbes"
"527","NFL","Franchise","Tennessee Titans","Franchise Value","Estimated",962.857142857143,"Dollars_Millions",2011,"Forbes"
"528","NFL","Franchise","Kansas City Chiefs","Franchise Value","Estimated",988.235294117647,"Dollars_Millions",2011,"Forbes"
"529","NFL","Franchise","Cleveland Browns","Franchise Value","Estimated",977.227722772277,"Dollars_Millions",2011,"Forbes"
"530","NFL","Franchise","Minnesota Vikings","Franchise Value","Estimated",799.180327868852,"Dollars_Millions",2011,"Forbes"
"531","NFL","Franchise","New Orleans Saints","Franchise Value","Estimated",961.386138613861,"Dollars_Millions",2011,"Forbes"
"532","NFL","Franchise","San Diego Chargers","Franchise Value","Estimated",917.647058823529,"Dollars_Millions",2011,"Forbes"
"533","NFL","Franchise","Arizona Cardinals","Franchise Value","Estimated",903.921568627451,"Dollars_Millions",2011,"Forbes"
"534","NFL","Franchise","Cincinnati Bengals","Franchise Value","Estimated",871,"Dollars_Millions",2011,"Forbes"
"535","NFL","Franchise","Detroit Lions","Franchise Value","Estimated",846.534653465347,"Dollars_Millions",2011,"Forbes"
"536","NFL","Franchise","Atlanta Falcons","Franchise Value","Estimated",812.621359223301,"Dollars_Millions",2011,"Forbes"
"537","NFL","Franchise","Buffalo Bills","Franchise Value","Estimated",789.21568627451,"Dollars_Millions",2011,"Forbes"
"538","NFL","Franchise","Oakland Raiders","Franchise Value","Estimated",762.135922330097,"Dollars_Millions",2011,"Forbes"
"539","NFL","Franchise","St Louis Rams","Franchise Value","Estimated",772.277227722772,"Dollars_Millions",2011,"Forbes"
"540","NFL","Franchise","Jacksonville Jaguars","Franchise Value","Estimated",726.415094339623,"Dollars_Millions",2011,"Forbes"
"541","UEFA","Franchise","Manchester United","Franchise Value","Estimated",1862.5,"Dollars_Millions",2011,"Forbes"
"542","UEFA","Franchise","Real Madrid","Franchise Value","Estimated",1455.03875968992,"Dollars_Millions",2011,"Forbes"
"543","UEFA","Franchise","Barcelona","Franchise Value","Estimated",975.373134328358,"Dollars_Millions",2011,"Forbes"
"544","UEFA","Franchise","Arsenal","Franchise Value","Estimated",1196.2962962963,"Dollars_Millions",2011,"Forbes"
"545","UEFA","Franchise","Bayern Munich","Franchise Value","Estimated",1046.61016949153,"Dollars_Millions",2011,"Forbes"
"546","UEFA","Franchise","AC Milan","Franchise Value","Estimated",838.135593220339,"Dollars_Millions",2011,"Forbes"
"547","UEFA","Franchise","Chelsea","Franchise Value","Estimated",656.034482758621,"Dollars_Millions",2011,"Forbes"
"548","UEFA","Franchise","Liverpool","Franchise Value","Estimated",552.678571428571,"Dollars_Millions",2011,"Forbes"
"549","UEFA","Franchise","Juventus","Franchise Value","Estimated",642.391304347826,"Dollars_Millions",2011,"Forbes"
"550","UEFA","Franchise","Schalke 04","Franchise Value","Estimated",376.282051282051,"Dollars_Millions",2011,"Forbes"
"551","UEFA","Franchise","Tottenham Hotspur","Franchise Value","Estimated",411.678832116788,"Dollars_Millions",2011,"Forbes"
"552","UEFA","Franchise","Inter Milan","Franchise Value","Estimated",441.441441441441,"Dollars_Millions",2011,"Forbes"
"553","UEFA","Franchise","Manchester City","Franchise Value","Estimated",291.447368421053,"Dollars_Millions",2011,"Forbes"
"554","UEFA","Franchise","Borussia Dortmund","Franchise Value","Estimated",259.210526315789,"Dollars_Millions",2011,"Forbes"
"555","UEFA","Franchise","Olympique Lyonnais","Franchise Value","Estimated",356.481481481481,"Dollars_Millions",2011,"Forbes"
"556","UEFA","Franchise","Hamburg SV","Franchise Value","Estimated",341.346153846154,"Dollars_Millions",2011,"Forbes"
"557","UEFA","Franchise","AS Roma","Franchise Value","Estimated",256.521739130435,"Dollars_Millions",2011,"Forbes"
"558","UEFA","Franchise","Olympique Marseille","Franchise Value","Estimated",276.984126984127,"Dollars_Millions",2011,"Forbes"
"559","UEFA","Franchise","Valencia","Franchise Value","Estimated",288,"Dollars_Millions",2011,"Forbes"
"560","UEFA","Franchise","Napoli","Franchise Value","Estimated",283,"Dollars_Millions",2011,"Forbes"
