"","League","Entity_Type","Entity","Variable","Variable_Type","Value","Value_Type","Period","Source"
"163","MLB","Franchise","Miami Marlins","Total Revenue","Estimated",148,"Dollars_Millions",2012,"Forbes"
"164","MLB","Franchise","Milwaukee Brewers","Total Revenue","Estimated",195,"Dollars_Millions",2012,"Forbes"
"165","MLB","Franchise","Arizona Diamondbacks","Total Revenue","Estimated",186,"Dollars_Millions",2012,"Forbes"
"166","MLB","Franchise","Cincinnati Reds","Total Revenue","Estimated",185,"Dollars_Millions",2012,"Forbes"
"167","MLB","Franchise","Toronto Blue Jays","Total Revenue","Estimated",188,"Dollars_Millions",2012,"Forbes"
"168","MLB","Franchise","Cleveland Indians","Total Revenue","Estimated",178,"Dollars_Millions",2012,"Forbes"
"169","MLB","Franchise","Kansas City Royals","Total Revenue","Estimated",161,"Dollars_Millions",2012,"Forbes"
"170","MLB","Franchise","Pittsburgh Pirates","Total Revenue","Estimated",168,"Dollars_Millions",2012,"Forbes"
"171","MLB","Franchise","Tampa Bay Rays","Total Revenue","Estimated",161,"Dollars_Millions",2012,"Forbes"
"172","MLB","Franchise","Oakland Athletics","Total Revenue","Estimated",160,"Dollars_Millions",2012,"Forbes"
"173","NFL","Franchise","Dallas Cowboys","Total Revenue","Estimated",500,"Dollars_Millions",2012,"Forbes"
"174","NFL","Franchise","New England Patriots","Total Revenue","Estimated",380,"Dollars_Millions",2012,"Forbes"
"175","NFL","Franchise","Washington Redskins","Total Revenue","Estimated",373,"Dollars_Millions",2012,"Forbes"
"176","NFL","Franchise","New York Giants","Total Revenue","Estimated",326,"Dollars_Millions",2012,"Forbes"
"177","NFL","Franchise","Houston Texans","Total Revenue","Estimated",304,"Dollars_Millions",2012,"Forbes"
"178","NFL","Franchise","New York Jets","Total Revenue","Estimated",299,"Dollars_Millions",2012,"Forbes"
"179","NFL","Franchise","Philadelphia Eagles","Total Revenue","Estimated",296,"Dollars_Millions",2012,"Forbes"
"180","NFL","Franchise","Chicago Bears","Total Revenue","Estimated",286,"Dollars_Millions",2012,"Forbes"
"181","NFL","Franchise","San Francisco 49ers","Total Revenue","Estimated",245,"Dollars_Millions",2012,"Forbes"
"182","NFL","Franchise","Green Bay Packers","Total Revenue","Estimated",276,"Dollars_Millions",2012,"Forbes"
"183","NFL","Franchise","Baltimore Ravens","Total Revenue","Estimated",279,"Dollars_Millions",2012,"Forbes"
"184","NFL","Franchise","Indianapolis Colts","Total Revenue","Estimated",268,"Dollars_Millions",2012,"Forbes"
"185","NFL","Franchise","Denver Broncos","Total Revenue","Estimated",276,"Dollars_Millions",2012,"Forbes"
"186","NFL","Franchise","Pittsburgh Steelers","Total Revenue","Estimated",266,"Dollars_Millions",2012,"Forbes"
"187","NFL","Franchise","Miami Dolphins","Total Revenue","Estimated",265,"Dollars_Millions",2012,"Forbes"
"188","NFL","Franchise","Carolina Panthers","Total Revenue","Estimated",269,"Dollars_Millions",2012,"Forbes"
"189","NFL","Franchise","Seattle Seahawks","Total Revenue","Estimated",260,"Dollars_Millions",2012,"Forbes"
"190","NFL","Franchise","Tampa Bay Buccaneers","Total Revenue","Estimated",258,"Dollars_Millions",2012,"Forbes"
"191","NFL","Franchise","Tennessee Titans","Total Revenue","Estimated",262,"Dollars_Millions",2012,"Forbes"
"192","NFL","Franchise","Kansas City Chiefs","Total Revenue","Estimated",259,"Dollars_Millions",2012,"Forbes"
"193","NFL","Franchise","Cleveland Browns","Total Revenue","Estimated",258,"Dollars_Millions",2012,"Forbes"
"194","NFL","Franchise","Minnesota Vikings","Total Revenue","Estimated",227,"Dollars_Millions",2012,"Forbes"
"195","NFL","Franchise","New Orleans Saints","Total Revenue","Estimated",259,"Dollars_Millions",2012,"Forbes"
"196","NFL","Franchise","San Diego Chargers","Total Revenue","Estimated",246,"Dollars_Millions",2012,"Forbes"
"197","NFL","Franchise","Arizona Cardinals","Total Revenue","Estimated",246,"Dollars_Millions",2012,"Forbes"
"198","NFL","Franchise","Cincinnati Bengals","Total Revenue","Estimated",235,"Dollars_Millions",2012,"Forbes"
"199","NFL","Franchise","Detroit Lions","Total Revenue","Estimated",231,"Dollars_Millions",2012,"Forbes"
"200","NFL","Franchise","Atlanta Falcons","Total Revenue","Estimated",239,"Dollars_Millions",2012,"Forbes"
"201","NFL","Franchise","Buffalo Bills","Total Revenue","Estimated",240,"Dollars_Millions",2012,"Forbes"
"202","NFL","Franchise","Oakland Raiders","Total Revenue","Estimated",226,"Dollars_Millions",2012,"Forbes"
"203","NFL","Franchise","St Louis Rams","Total Revenue","Estimated",231,"Dollars_Millions",2012,"Forbes"
"204","NFL","Franchise","Jacksonville Jaguars","Total Revenue","Estimated",238,"Dollars_Millions",2012,"Forbes"
"205","UEFA","Franchise","Manchester United","Total Revenue","Estimated",532,"Dollars_Millions",2012,"Forbes"
"206","UEFA","Franchise","Real Madrid","Total Revenue","Estimated",695,"Dollars_Millions",2012,"Forbes"
"207","UEFA","Franchise","Barcelona","Total Revenue","Estimated",653,"Dollars_Millions",2012,"Forbes"
"208","UEFA","Franchise","Arsenal","Total Revenue","Estimated",364,"Dollars_Millions",2012,"Forbes"
"209","UEFA","Franchise","Bayern Munich","Total Revenue","Estimated",466,"Dollars_Millions",2012,"Forbes"
"210","UEFA","Franchise","AC Milan","Total Revenue","Estimated",341,"Dollars_Millions",2012,"Forbes"
"211","UEFA","Franchise","Chelsea","Total Revenue","Estimated",362,"Dollars_Millions",2012,"Forbes"
"212","UEFA","Franchise","Liverpool","Total Revenue","Estimated",295,"Dollars_Millions",2012,"Forbes"
"213","UEFA","Franchise","Juventus","Total Revenue","Estimated",223,"Dollars_Millions",2012,"Forbes"
"214","UEFA","Franchise","Schalke 04","Total Revenue","Estimated",293,"Dollars_Millions",2012,"Forbes"
"215","UEFA","Franchise","Tottenham Hotspur","Total Revenue","Estimated",262,"Dollars_Millions",2012,"Forbes"
"216","UEFA","Franchise","Inter Milan","Total Revenue","Estimated",307,"Dollars_Millions",2012,"Forbes"
"217","UEFA","Franchise","Manchester City","Total Revenue","Estimated",246,"Dollars_Millions",2012,"Forbes"
"218","UEFA","Franchise","Borussia Dortmund","Total Revenue","Estimated",197,"Dollars_Millions",2012,"Forbes"
"219","UEFA","Franchise","Olympique Lyonnais","Total Revenue","Estimated",193,"Dollars_Millions",2012,"Forbes"
"220","UEFA","Franchise","Hamburg SV","Total Revenue","Estimated",187,"Dollars_Millions",2012,"Forbes"
"221","UEFA","Franchise","AS Roma","Total Revenue","Estimated",208,"Dollars_Millions",2012,"Forbes"
"222","UEFA","Franchise","Olympique Marseille","Total Revenue","Estimated",218,"Dollars_Millions",2012,"Forbes"
"223","UEFA","Franchise","Valencia","Total Revenue","Estimated",169,"Dollars_Millions",2012,"Forbes"
"224","UEFA","Franchise","Napoli","Total Revenue","Estimated",167,"Dollars_Millions",2012,"Forbes"
"225","NBA","Franchise","Los Angeles Lakers","Operating Income","Estimated",24.3,"Dollars_Millions",2012,"Forbes"
"226","NBA","Franchise","New York Knicks","Operating Income","Estimated",74.9,"Dollars_Millions",2012,"Forbes"
"227","NBA","Franchise","Chicago Bulls","Operating Income","Estimated",59.4,"Dollars_Millions",2012,"Forbes"
"228","NBA","Franchise","Dallas Mavericks","Operating Income","Estimated",-3.9,"Dollars_Millions",2012,"Forbes"
"229","NBA","Franchise","Boston Celtics","Operating Income","Estimated",7.7,"Dollars_Millions",2012,"Forbes"
"230","NBA","Franchise","Miami Heat","Operating Income","Estimated",26,"Dollars_Millions",2012,"Forbes"
"231","NBA","Franchise","Houston Rockets","Operating Income","Estimated",17.9,"Dollars_Millions",2012,"Forbes"
"232","NBA","Franchise","Golden State Warriors","Operating Income","Estimated",22.2,"Dollars_Millions",2012,"Forbes"
"233","NBA","Franchise","San Antonio Spurs","Operating Income","Estimated",14.4,"Dollars_Millions",2012,"Forbes"
"234","NBA","Franchise","Phoenix Suns","Operating Income","Estimated",13.1,"Dollars_Millions",2012,"Forbes"
"235","NBA","Franchise","Orlando Magic","Operating Income","Estimated",-16,"Dollars_Millions",2012,"Forbes"
"236","NBA","Franchise","Toronto Raptors","Operating Income","Estimated",7.4,"Dollars_Millions",2012,"Forbes"
"237","NBA","Franchise","Portland Trail Blazers","Operating Income","Estimated",-8.1,"Dollars_Millions",2012,"Forbes"
"238","NBA","Franchise","New Jersey Nets","Operating Income","Estimated",-23.6,"Dollars_Millions",2012,"Forbes"
"239","NBA","Franchise","Oklahoma City Thunder","Operating Income","Estimated",24.5,"Dollars_Millions",2012,"Forbes"
"240","NBA","Franchise","Utah Jazz","Operating Income","Estimated",-16.4,"Dollars_Millions",2012,"Forbes"
"241","NBA","Franchise","Detroit Pistons","Operating Income","Estimated",9.7,"Dollars_Millions",2012,"Forbes"
"242","NBA","Franchise","Cleveland Cavaliers","Operating Income","Estimated",32.9,"Dollars_Millions",2012,"Forbes"
"243","NBA","Franchise","Washington Wizards","Operating Income","Estimated",-3.4,"Dollars_Millions",2012,"Forbes"
"244","NBA","Franchise","Los Angeles Clippers","Operating Income","Estimated",9.4,"Dollars_Millions",2012,"Forbes"
"245","NBA","Franchise","Denver Nuggets","Operating Income","Estimated",-1.2,"Dollars_Millions",2012,"Forbes"
"246","NBA","Franchise","Philadelphia 76ers","Operating Income","Estimated",-10.3,"Dollars_Millions",2012,"Forbes"
"247","NBA","Franchise","Sacramento Kings","Operating Income","Estimated",6.4,"Dollars_Millions",2012,"Forbes"
"248","NBA","Franchise","New Orleans Hornets","Operating Income","Estimated",-2.7,"Dollars_Millions",2012,"Forbes"
"249","NBA","Franchise","Indiana Pacers","Operating Income","Estimated",-10.5,"Dollars_Millions",2012,"Forbes"
