,Sport,Governing_Body,Event,Facet_Type,Facet_Value,Variable,Value,Value_Type,Date,Period,Source
123,NA,WTA,NA,Age,25-to-34,Distribution of Fans,0.1,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
124,NA,WTA,NA,Age,35-to-44,Distribution of Fans,0.14,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
125,NA,WTA,NA,Age,45-to-54,Distribution of Fans,0.23,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
126,NA,WTA,NA,Age,55 and older,Distribution of Fans,0.36,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
127,NA,WNBA,NA,Age,12-to-17,Distribution of Fans,0.23,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
128,NA,WNBA,NA,Age,18-to-24,Distribution of Fans,0.25,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
129,NA,WNBA,NA,Age,25-to-34,Distribution of Fans,0.1,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
130,NA,WNBA,NA,Age,35-to-44,Distribution of Fans,0.12,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
131,NA,WNBA,NA,Age,45-to-54,Distribution of Fans,0.17,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
132,NA,WNBA,NA,Age,55 and older,Distribution of Fans,0.24,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
133,NA,LPGA,NA,Age,12-to-17,Distribution of Fans,0.06,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
134,NA,LPGA,NA,Age,18-to-24,Distribution of Fans,0.07,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
135,NA,LPGA,NA,Age,25-to-34,Distribution of Fans,0.06,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
136,NA,LPGA,NA,Age,35-to-44,Distribution of Fans,0.13,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
137,NA,LPGA,NA,Age,45-to-54,Distribution of Fans,0.21,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
138,NA,LPGA,NA,Age,55 and older,Distribution of Fans,0.47,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
139,NA,NCAA Men's Football,BCS Championship ,Age,NA,Average Viewer Age,45,Percentage of Survey,NA,2012,The Nielsen Company
140,NA,Racing,Daytona 500 ,Age,NA,Average Viewer Age,50,Percentage of Survey,NA,2012,The Nielsen Company
141,NA,Racing,Indianapolis 500 ,Age,NA,Average Viewer Age,55,Percentage of Survey,NA,2012,The Nielsen Company
142,NA,MLS,MLS Cup ,Age,NA,Average Viewer Age,39,Percentage of Survey,NA,2012,The Nielsen Company
143,NA,NBA,NBA Finals ,Age,NA,Average Viewer Age,41,Percentage of Survey,NA,2012,The Nielsen Company
144,NA,NCAA Men's Basketball,NCAA MenŠ—Ès Basketball Championship ,Age,NA,Average Viewer Age,47,Percentage of Survey,NA,2012,The Nielsen Company
145,NA,NHL,Stanley Cup Final ,Age,NA,Average Viewer Age,46,Percentage of Survey,NA,2012,The Nielsen Company
146,NA,Olympics,"Summer Olympics, prime time ",Age,NA,Average Viewer Age,48,Percentage of Survey,NA,2012,The Nielsen Company
147,NA,Action Sports,Summer X Games ,Age,NA,Average Viewer Age,33,Percentage of Survey,NA,2012,The Nielsen Company
148,NA,NFL,Super Bowl ,Age,NA,Average Viewer Age,42,Percentage of Survey,NA,2012,The Nielsen Company
149,NA,PGA,The Masters ,Age,NA,Average Viewer Age,56,Percentage of Survey,NA,2012,The Nielsen Company
150,NA,Olympics,"Winter Olympics, prime time ",Age,NA,Average Viewer Age,53,Percentage of Survey,NA,2010,The Nielsen Company
151,NA,Action Sports,Winter X Games ,Age,NA,Average Viewer Age,34,Percentage of Survey,NA,2012,The Nielsen Company
152,NA,MLB,World Series ,Age,NA,Average Viewer Age,52,Percentage of Survey,NA,2012,The Nielsen Company
153,NA,NFL,NA,Ethnicity,Caucasian,Distribution of Fans,0.73,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
154,NA,NFL,NA,Ethnicity,African-American,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
155,NA,NFL,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
156,NA,NFL,NA,Ethnicity,Other,Distribution of Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
157,NA,NCAA Men's Football,NA,Ethnicity,Caucasian,Distribution of Fans,0.75,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
158,NA,NCAA Men's Football,NA,Ethnicity,African-American,Distribution of Fans,0.11,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
159,NA,NCAA Men's Football,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
160,NA,NCAA Men's Football,NA,Ethnicity,Other,Distribution of Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
161,NA,MLB,NA,Ethnicity,Caucasian,Distribution of Fans,0.74,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
162,NA,MLB,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.12,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
163,NA,MLB,NA,Ethnicity,African-American,Distribution of Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
164,NA,MLB,NA,Ethnicity,Other,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
165,NA,NCAA Men's Basketball,NA,Ethnicity,Caucasian,Distribution of Fans,0.73,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
166,NA,NCAA Men's Basketball,NA,Ethnicity,African-American,Distribution of Fans,0.13,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
167,NA,NCAA Men's Basketball,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
168,NA,NCAA Men's Basketball,NA,Ethnicity,Other,Distribution of Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
169,NA,NBA,NA,Ethnicity,Caucasian,Distribution of Fans,0.65,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
170,NA,NBA,NA,Ethnicity,African-American,Distribution of Fans,0.15,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
171,NA,NBA,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.14,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
172,NA,NBA,NA,Ethnicity,Other,Distribution of Fans,0.06,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
173,NA,NASCAR,NA,Ethnicity,Caucasian,Distribution of Fans,0.77,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
174,NA,NASCAR,NA,Ethnicity,African-American,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
175,NA,NASCAR,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
176,NA,NASCAR,NA,Ethnicity,Other,Distribution of Fans,0.05,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
177,NA,MLS,NA,Ethnicity,Caucasian,Distribution of Fans,0.61,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
178,NA,MLS,NA,Ethnicity,Hispanic-American,Distribution of Fans,0.23,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
179,NA,MLS,NA,Ethnicity,African-American,Distribution of Fans,0.09,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
180,NA,MLS,NA,Ethnicity,Other,Distribution of Fans,0.07,Percentage of Survey,12/31/11,2011,ESPN Sports Poll
181,NA,MLB,NA,Income,"<$50,000",Distribution of Fans,0.44,Percentage of Survey,NA,2011,Scarborough Sports Marketing
182,NA,MLS,NA,Income,"<$50,000",Distribution of Fans,0.51,Percentage of Survey,NA,2011,Scarborough Sports Marketing
183,NA,NASCAR,NA,Income,"<$50,000",Distribution of Fans,0.49,Percentage of Survey,NA,2011,Scarborough Sports Marketing
184,NA,NBA,NA,Income,"<$50,000",Distribution of Fans,0.48,Percentage of Survey,NA,2011,Scarborough Sports Marketing
185,NA,NFL,NA,Income,"<$50,000",Distribution of Fans,0.41,Percentage of Survey,NA,2011,Scarborough Sports Marketing
