"","Year","ID_School","DOE.Institution_Name","ID_Conference","Total"
"313","2005-2006","ORE","University of Oregon","PAC12",282
"314","2005-2006","ORE.ST","Oregon State University","PAC12",123
"315","2005-2006","OSU","Ohio State University-Main Campus","BIG10",605
"316","2005-2006","RUT","Rutgers University-New Brunswick","BIGEAST",457
"317","2005-2006","SCAR","University of South Carolina-Columbia","SEC",366
"318","2005-2006","SJ.ST","San Jose State University","MWC",309
"319","2005-2006","SMU","Southern Methodist University","CUSA",41
"320","2005-2006","STAN","Stanford University","PAC12",643
"321","2005-2006","TAM","Texas A & M University-College Station","SEC",455
"322","2005-2006","UGA","University of Georgia","SEC",367
"323","2005-2006","UM","University of Michigan-Ann Arbor","BIG10",481
"324","2005-2006","UNC","University of North Carolina at Chapel Hill","ACC",478
"325","2005-2006","UOFM","University of Miami","ACC",255
"326","2005-2006","USC","University of Southern California","PAC12",363
"327","2005-2006","UT","The University of Texas at Austin","BIG12",396
"328","2005-2006","UTA.ST","Utah State University","MWC",218
"329","2005-2006","VANDY","Vanderbilt University","SEC",238
