"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"61","Bruce Gradkowski","2006-2012",2006,2012,709,375,4057,21,39,7,"http://www.pro-football-reference.com/players/G/GradBr00.htm","http://www.pro-football-reference.com/players/G/GradBr00/gamelog"
"337","Pat Ryan","1978-1991",1978,1991,708,396,4660,36,58,12,"http://www.pro-football-reference.com/players/R/RyanPa00.htm","http://www.pro-football-reference.com/players/R/RyanPa00/gamelog"
"90","Cliff Stoudt","1980-1988",1980,1988,704,369,4693,24,41,7,"http://www.pro-football-reference.com/players/S/StouCl00.htm","http://www.pro-football-reference.com/players/S/StouCl00/gamelog"
"93","Colt McCoy","2010-2013",2010,2013,703,410,4401,21,27,4,"http://www.pro-football-reference.com/players/M/McCoCo00.htm","http://www.pro-football-reference.com/players/M/McCoCo00/gamelog"
"66","Butch Songin","1960-1962",1960,1962,694,327,4347,38,29,3,"http://www.pro-football-reference.com/players/S/SongBu00.htm","http://www.pro-football-reference.com/players/S/SongBu00/gamelog"
"91","Cody Carlson","1988-1994",1988,1994,692,386,4634,23,45,7,"http://www.pro-football-reference.com/players/C/CarlCo00.htm","http://www.pro-football-reference.com/players/C/CarlCo00/gamelog"
"150","Eddie LeBaron","1960-1963",1960,1963,692,359,5331,45,45,4,"http://www.pro-football-reference.com/players/L/LeBaEd00.htm","http://www.pro-football-reference.com/players/L/LeBaEd00/gamelog"
"277","King Hill","1960-1969",1960,1969,691,346,4758,30,101,10,"http://www.pro-football-reference.com/players/H/HillKi00.htm","http://www.pro-football-reference.com/players/H/HillKi00/gamelog"
"45","Bobby Layne","1952-1962",1952,1962,688,340,5273,34,37,6,"http://www.pro-football-reference.com/players/L/LaynBo00.htm","http://www.pro-football-reference.com/players/L/LaynBo00/gamelog"
"370","Russell Wilson","2012-2013",2012,2013,686,435,5535,44,27,2,"http://www.pro-football-reference.com/players/W/WilsRu00.htm","http://www.pro-football-reference.com/players/W/WilsRu00/gamelog"
"197","JaMarcus Russell","2007-2009",2007,2009,680,354,4083,18,31,3,"http://www.pro-football-reference.com/players/R/RussJa00.htm","http://www.pro-football-reference.com/players/R/RussJa00/gamelog"
"80","Charlie Frye","2005-2009",2005,2009,677,419,4154,17,26,5,"http://www.pro-football-reference.com/players/F/FryeCh00.htm","http://www.pro-football-reference.com/players/F/FryeCh00/gamelog"
"117","David Archer","1984-1989",1984,1989,661,336,4337,18,34,6,"http://www.pro-football-reference.com/players/A/ArchDa00.htm","http://www.pro-football-reference.com/players/A/ArchDa00/gamelog"
"374","Ryan Leaf","1998-2001",1998,2001,655,317,3666,14,25,3,"http://www.pro-football-reference.com/players/L/LeafRy00.htm","http://www.pro-football-reference.com/players/L/LeafRy00/gamelog"
"272","Kent Nix","1967-1972",1967,1972,652,301,3644,23,41,6,"http://www.pro-football-reference.com/players/N/NixxKe00.htm","http://www.pro-football-reference.com/players/N/NixxKe00/gamelog"
"306","Matt Leinart","2006-2012",2006,2012,651,373,4126,15,34,6,"http://www.pro-football-reference.com/players/L/LeinMa00.htm","http://www.pro-football-reference.com/players/L/LeinMa00/gamelog"
"14","Anthony Wright","2000-2007",2000,2007,642,352,3804,21,34,6,"http://www.pro-football-reference.com/players/W/WrigAn00.htm","http://www.pro-football-reference.com/players/W/WrigAn00/gamelog"
"135","Don Trull","1964-1969",1964,1969,636,276,3980,30,55,6,"http://www.pro-football-reference.com/players/T/TrulDo00.htm","http://www.pro-football-reference.com/players/T/TrulDo00/gamelog"
"389","Sean Salisbury","1987-1996",1987,1996,621,332,4058,19,36,5,"http://www.pro-football-reference.com/players/S/SaliSe00.htm","http://www.pro-football-reference.com/players/S/SaliSe00/gamelog"
"252","Johnny Green","1960-1963",1960,1963,618,275,3921,26,26,4,"http://www.pro-football-reference.com/players/G/GreeJo00.htm","http://www.pro-football-reference.com/players/G/GreeJo00/gamelog"
