"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"122","David Whitehurst","1977-1983",1977,1983,980,504,6205,28,52,7,"http://www.pro-football-reference.com/players/W/WhitDa02.htm","http://www.pro-football-reference.com/players/W/WhitDa02/gamelog"
"407","Steve Pelluer","1985-1990",1985,1990,974,548,6870,29,44,6,"http://www.pro-football-reference.com/players/P/PellSt00.htm","http://www.pro-football-reference.com/players/P/PellSt00/gamelog"
"402","Steve Dils","1980-1988",1980,1988,972,504,5816,27,47,9,"http://www.pro-football-reference.com/players/D/DilsSt00.htm","http://www.pro-football-reference.com/players/D/DilsSt00/gamelog"
"458","Ty Detmer","1993-2001",1993,2001,967,560,6499,34,42,7,"http://www.pro-football-reference.com/players/D/DetmTy00.htm","http://www.pro-football-reference.com/players/D/DetmTy00/gamelog"
"324","Mike Taliaferro","1964-1972",1964,1972,966,419,5241,36,61,8,"http://www.pro-football-reference.com/players/T/TaliMi00.htm","http://www.pro-football-reference.com/players/T/TaliMi00/gamelog"
"101","Damon Huard","1998-2008",1998,2008,962,579,6349,33,44,8,"http://www.pro-football-reference.com/players/H/HuarDa00.htm","http://www.pro-football-reference.com/players/H/HuarDa00/gamelog"
"392","Shaun Hill","2005-2013",2005,2013,954,591,6381,41,36,8,"http://www.pro-football-reference.com/players/H/HillSh00.htm","http://www.pro-football-reference.com/players/H/HillSh00/gamelog"
"87","Christian Ponder","2011-2013",2011,2013,953,573,6034,36,33,3,"http://www.pro-football-reference.com/players/P/PondCh00.htm","http://www.pro-football-reference.com/players/P/PondCh00/gamelog"
"210","Jeff Kemp","1981-1991",1981,1991,953,497,6403,39,55,9,"http://www.pro-football-reference.com/players/K/KempJe00.htm","http://www.pro-football-reference.com/players/K/KempJe00/gamelog"
"187","J.P. Losman","2004-2011",2004,2011,952,564,6271,33,45,7,"http://www.pro-football-reference.com/players/L/LosmJ.00.htm","http://www.pro-football-reference.com/players/L/LosmJ.00/gamelog"
"264","Kelly Holcomb","1995-2007",1995,2007,952,600,6453,42,38,8,"http://www.pro-football-reference.com/players/H/HolcKe00.htm","http://www.pro-football-reference.com/players/H/HolcKe00/gamelog"
"10","Andrew Luck","2012-2013",2012,2013,945,521,6507,36,25,2,"http://www.pro-football-reference.com/players/L/LuckAn00.htm","http://www.pro-football-reference.com/players/L/LuckAn00/gamelog"
"453","Trent Edwards","2007-2012",2007,2012,929,563,6033,26,37,5,"http://www.pro-football-reference.com/players/E/EdwaTr01.htm","http://www.pro-football-reference.com/players/E/EdwaTr01/gamelog"
"185","Hugh Millen","1987-1995",1987,1995,928,560,6440,22,38,8,"http://www.pro-football-reference.com/players/M/MillHu00.htm","http://www.pro-football-reference.com/players/M/MillHu00/gamelog"
"124","Dennis Shaw","1970-1975",1970,1975,924,489,6347,35,48,5,"http://www.pro-football-reference.com/players/S/ShawDe00.htm","http://www.pro-football-reference.com/players/S/ShawDe00/gamelog"
"409","Steve Ramsey","1970-1976",1970,1976,921,456,6437,35,52,7,"http://www.pro-football-reference.com/players/R/RamsSt00.htm","http://www.pro-football-reference.com/players/R/RamsSt00/gamelog"
"339","Patrick Ramsey","2002-2008",2002,2008,914,512,5929,35,40,7,"http://www.pro-football-reference.com/players/R/RamsPa00.htm","http://www.pro-football-reference.com/players/R/RamsPa00/gamelog"
"5","Al Dorow","1960-1962",1960,1962,909,428,5732,47,32,3,"http://www.pro-football-reference.com/players/D/DoroAl00.htm","http://www.pro-football-reference.com/players/D/DoroAl00/gamelog"
"430","Todd Blackledge","1983-1989",1983,1989,902,436,5366,29,44,7,"http://www.pro-football-reference.com/players/B/BlacTo00.htm","http://www.pro-football-reference.com/players/B/BlacTo00/gamelog"
"237","Joe Pisarcik","1977-1984",1977,1984,898,425,5552,24,57,8,"http://www.pro-football-reference.com/players/P/PisaJo00.htm","http://www.pro-football-reference.com/players/P/PisaJo00/gamelog"
"412","Steve Tensi","1966-1970",1966,1970,862,369,5558,43,45,5,"http://www.pro-football-reference.com/players/T/TensSt00.htm","http://www.pro-football-reference.com/players/T/TensSt00/gamelog"
"391","Shane Matthews","1996-2004",1996,2004,856,500,4822,31,29,6,"http://www.pro-football-reference.com/players/M/MattSh00.htm","http://www.pro-football-reference.com/players/M/MattSh00/gamelog"
"191","Jack Thompson","1979-1984",1979,1984,846,450,5329,33,45,5,"http://www.pro-football-reference.com/players/T/ThomJa00.htm","http://www.pro-football-reference.com/players/T/ThomJa00/gamelog"
"134","Don Strock","1974-1988",1974,1988,844,483,5913,49,68,15,"http://www.pro-football-reference.com/players/S/StroDo00.htm","http://www.pro-football-reference.com/players/S/StroDo00/gamelog"
"193","Jacky Lee","1960-1969",1960,1969,838,430,6191,46,61,10,"http://www.pro-football-reference.com/players/L/LeexJa00.htm","http://www.pro-football-reference.com/players/L/LeexJa00/gamelog"
"393","Shaun King","1999-2004",1999,2004,830,460,5057,28,35,6,"http://www.pro-football-reference.com/players/K/KingSh00.htm","http://www.pro-football-reference.com/players/K/KingSh00/gamelog"
"361","Rob Johnson","1995-2003",1995,2003,829,505,5947,30,45,8,"http://www.pro-football-reference.com/players/J/JohnRo00.htm","http://www.pro-football-reference.com/players/J/JohnRo00/gamelog"
"300","Marty Domres","1969-1977",1969,1977,820,401,4913,28,62,9,"http://www.pro-football-reference.com/players/D/DomrMa00.htm","http://www.pro-football-reference.com/players/D/DomrMa00/gamelog"
"465","Virgil Carter","1968-1976",1968,1976,805,432,5127,29,45,7,"http://www.pro-football-reference.com/players/C/CartVi00.htm","http://www.pro-football-reference.com/players/C/CartVi00/gamelog"
