Season,Year_Start,Year_End,Date,Month,Day,Name,Person_Type,Current_Team,Team,First_Team,Second_Team,Third_Team,Notes,Award,Award.Name,League,fname,PTS,REB,AST,Wins,Losses,WL%,PPG,RPG,APG,BPG,PPG_Previous,RPG_Previous,APG_Previous,SPG,FG%,FT%,source
1992-1993,1992,1993,1/3/1993,1,3,Drazen Petrovic,Player,Brooklyn Nets,New Jersey Nets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,1/10/1993,1,10,Charles Barkley,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,1/17/1993,1,17,Patrick Ewing,Player,New York Knicks,New York Knicks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,1/24/1993,1,24,Sean Elliott,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,2/7/1993,2,7,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,2/21/1993,2,21,Shawn Kemp,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,3/7/1993,3,7,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,3/14/1993,3,14,Patrick Ewing,Player,New York Knicks,New York Knicks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,3/21/1993,3,21,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,4/4/1993,4,4,Nick Anderson,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,4/11/1993,4,11,Larry Johnson,Player,New Orleans Hornets,Charlotte Hornets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,4/18/1993,4,18,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,4/25/1993,4,25,Rony Seikaly,Player,Miami Heat,Miami Heat,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,11/14/1992,11,14,Rumeal Robinson,Player,Brooklyn Nets,New Jersey Nets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,11/21/1992,11,21,Patrick Ewing,Player,New York Knicks,New York Knicks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,12/5/1992,12,5,Dikembe Mutombo,Player,Denver Nuggets,Denver Nuggets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,12/12/1992,12,12,Charles Barkley,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,12/19/1992,12,19,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,12/26/1992,12,26,Alonzo Mourning,Player,New Orleans Hornets,Charlotte Hornets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1992-1993,1992,1993,1/2/1993,1,2,Larry Johnson,Player,New Orleans Hornets,Charlotte Hornets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,1/9/1994,1,9,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,1/16/1994,1,16,Charles Barkley,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,1/23/1994,1,23,Glen Rice,Player,Miami Heat,Miami Heat,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,2/6/1994,2,6,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,2/20/1994,2,20,Shaquille O'Neal,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,2/27/1994,2,27,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,3/6/1994,3,6,Scottie Pippen,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,3/13/1994,3,13,Oliver Miller,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,3/20/1994,3,20,Chris Webber,Player,Golden State Warriors,Golden State Warriors,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,3/27/1994,3,27,Patrick Ewing,Player,New York Knicks,New York Knicks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,4/3/1994,4,3,Kenny Anderson,Player,Brooklyn Nets,New Jersey Nets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,4/10/1994,4,10,Ron Harper,Player,Los Angeles Clippers,Los Angeles Clippers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,4/17/1994,4,17,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,4/24/1994,4,24,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,11/13/1993,11,13,Shawn Kemp,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,11/20/1993,11,20,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,11/27/1993,11,27,Joe Dumars,Player,Detroit Pistons,Detroit Pistons,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,12/4/1993,12,4,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,12/11/1993,12,11,Kevin Willis,Player,Atlanta Hawks,Atlanta Hawks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,12/18/1993,12,18,Shawn Kemp,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,12/26/1993,12,26,Dikembe Mutombo,Player,Denver Nuggets,Denver Nuggets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,1/2/1994,1,2,Scottie Pippen,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1993-1994,1993,1994,1/8/1994,1,8,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,1/15/1995,1,15,Tim Hardaway,Player,Golden State Warriors,Golden State Warriors,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,1/22/1995,1,22,Elliot Perry,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,1/29/1995,1,29,Anfernee Hardaway,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,2/5/1995,2,5,Shaquille O'Neal,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,2/19/1995,2,19,Jamal Mashburn,Player,Dallas Mavericks,Dallas Mavericks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,2/26/1995,2,26,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,3/4/1995,3,4,Cedric Ceballos,Player,Los Angeles Lakers,Los Angeles Lakers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,3/4/1995,3,4,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,3/11/1995,3,11,Gary Payton,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,3/18/1995,3,18,Larry Johnson,Player,New Orleans Hornets,Charlotte Hornets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,3/25/1995,3,25,Patrick Ewing,Player,New York Knicks,New York Knicks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,4/1/1995,4,1,John Stockton,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,4/8/1995,4,8,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,4/15/1995,4,15,Charles Barkley,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,11/11/1994,11,11,Rod Strickland,Player,Portland Trail Blazers,Portland Trail Blazers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,11/18/1994,11,18,Shaquille O'Neal,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,11/25/1994,11,25,Rik Smits,Player,Indiana Pacers,Indiana Pacers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,25.3,8.7,2.7,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,11/25/1994,11,25,Jason Kidd,Player,Dallas Mavericks,Dallas Mavericks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,12/2/1994,12,2,Vlade Divac,Player,Los Angeles Lakers,Los Angeles Lakers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,12/9/1994,12,9,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,12/16/1994,12,16,Clyde Drexler,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,12/23/1994,12,23,Dikembe Mutombo,Player,Denver Nuggets,Denver Nuggets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1994-1995,1994,1995,1/6/1995,1,6,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/13/1996,1,13,Anfernee Hardaway,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,5,1,83.33%,27.2,6.2,7.3,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/20/1996,1,20,Cedric Ceballos,Player,Los Angeles Lakers,Los Angeles Lakers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,26,9.5,2.5,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/27/1996,1,27,Shawn Kemp,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,23.3,12.8,NA,NA,NA,NA,NA,NA,0.61,0,NBAstats.prv.pl
1995-1996,1995,1996,2/3/1996,2,3,Terrell Brandon,Player,Cleveland Cavaliers,Cleveland Cavaliers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,23,4,8.8,NA,NA,NA,NA,3.5,0,0,NBAstats.prv.pl
1995-1996,1995,1996,2/17/1996,2,17,Dikembe Mutombo,Player,Denver Nuggets,Denver Nuggets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,11.3,10.7,NA,7.3,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,2/24/1996,2,24,Scottie Pippen,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,29.7,9.7,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,3/3/1996,3,3,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,32.5,6.8,5,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,3/10/1996,3,10,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,30.7,9.7,5,NA,NA,NA,NA,NA,0.66,0,NBAstats.prv.pl
1995-1996,1995,1996,3/17/1996,3,17,Clifford Robinson,Player,Portland Trail Blazers,Portland Trail Blazers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,28.8,6.5,2.8,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,3/24/1996,3,24,David Robinson,Player,San Antonio Spurs,San Antonio Spurs,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,22.5,16,4,3.8,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,4/7/1996,4,7,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,38,7,2.5,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,4/14/1996,4,14,Reggie Miller,Player,Indiana Pacers,Indiana Pacers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,25.5,NA,NA,NA,NA,NA,NA,NA,0.6,0,NBAstats.prv.pl
1995-1996,1995,1996,4/21/1996,4,21,Jason Kidd,Player,Dallas Mavericks,Dallas Mavericks,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,2,1,66.67%,27.7,10.7,10.7,NA,NA,NA,NA,3.3,0,0,NBAstats.prv.pl
1995-1996,1995,1996,11/9/1995,11,9,Armon Gilliam,Player,Brooklyn Nets,New Jersey Nets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,28,9.7,2.3,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,11/16/1995,11,16,Shawn Kemp,Player,Oklahoma City Thunder,Seattle SuperSonics,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,22.5,13,NA,1.3,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,11/23/1995,11,23,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,35.3,10.3,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,12/7/1995,12,7,Shaquille O'Neal,Player,Orlando Magic,Orlando Magic,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,35,17,NA,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,12/14/1995,12,14,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,2,1,66.67%,39.3,9,3,NA,NA,NA,NA,3,0,0,NBAstats.prv.pl
1995-1996,1995,1996,12/21/1995,12,21,Grant Hill,Player,Detroit Pistons,Detroit Pistons,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,21.5,13.3,8.5,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/4/1996,1,4,Chris Gatling,Player,Miami Heat,Miami Heat,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,22.3,5.7,1.3,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/11/1996,1,11,Arvydas Sabonis,Player,Portland Trail Blazers,Portland Trail Blazers,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,20.3,9.5,NA,2.3,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/18/1996,1,18,Kevin Johnson,Player,Phoenix Suns,Phoenix Suns,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,21.5,NA,11,NA,NA,NA,NA,1.8,0,0,NBAstats.prv.pl
1995-1996,1995,1996,1/25/1996,1,25,Juwan Howard,Player,Washington Wizards,Washington Bullets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,26.5,11.3,6,NA,NA,NA,NA,NA,0,0,NBAstats.prv.pl
1996-1997,1996,1997,2/1/1997,2,1,Hakeem Olajuwon,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,6,1,85.71%,28.7,9,3,NA,NA,NA,NA,1.7,0,0,NBAstats.prv.pl
1996-1997,1996,1997,2/15/1997,2,15,Dale Ellis,Player,Denver Nuggets,Denver Nuggets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,3,1,75.00%,30.4,NA,NA,NA,NA,NA,NA,NA,0,0.53,NBAstats.prv.pl
1996-1997,1996,1997,2/22/1997,2,22,Charles Barkley,Player,Houston Rockets,Houston Rockets,NA,NA,NA,NA,Player of the Week,NA,NBA,NBA Player of the Week History.csv,NA,NA,NA,4,1,80.00%,23,16.3,8.5,NA,NA,NA,NA,1.3,0,0,NBAstats.prv.pl
