Franchise,Gate,Media,Stadium,Other Revenue,Total Revenue,Player Salaries,Other Expenses,Total Expenses,Operating Income,Franchise Value,Debt,Season,Source URL
Cleveland Cavaliers,"15,000,000",,,0,"15,200,000","53,000,000","68,200,000","121,200,000","3,800,000",,,2002-2003,
Toronto Raptors,"32,000,000",,,0,"27,400,000","58,000,000","85,400,000","143,400,000","10,600,000",,,2002-2003,
New Jersey Nets,"42,000,000",,,0,"32,600,000","63,000,000","95,600,000","158,600,000","-1,600,000",,,2002-2003,
Utah Jazz,"36,000,000",,,0,"18,200,000","53,000,000","71,200,000","124,200,000","13,800,000",,,2002-2003,
Miami Heat,"31,000,000",,,0,"34,100,000","49,000,000","83,100,000","132,100,000","7,900,000",,,2002-2003,
Minnesota Timberwolves,"26,000,000",,,0,"22,100,000","56,000,000","78,100,000","134,100,000","6,900,000",,,2002-2003,
Memphis Grizzlies,"25,000,000",,,0,"28,700,000","54,000,000","82,700,000","136,700,000","-19,700,000",,,2002-2003,
Denver Nuggets,"22,000,000",,,0,"15,100,000","52,000,000","67,100,000","119,100,000","7,900,000",,,2002-2003,
New Orleans Hornets,"31,000,000",,,0,"10,100,000","48,000,000","58,100,000","106,100,000","21,900,000",,,2002-2003,
Los Angeles Clippers,"25,000,000",,,0,"10,100,000","46,000,000","56,100,000","102,100,000","15,900,000",,,2002-2003,
Atlanta Hawks,"17,000,000",,,0,"27,400,000","59,000,000","86,400,000","145,400,000","-8,400,000",,,2002-2003,
Orlando Magic,"28,000,000",,,0,"12,900,000","54,000,000","66,900,000","120,900,000","13,100,000",,,2002-2003,
Seattle Supersonics,"23,000,000",,,0,"11,600,000","56,000,000","67,600,000","123,600,000","2,400,000",,,2002-2003,
Golden State Warriors,"23,000,000",,,0,"11,200,000","51,000,000","62,200,000","113,200,000","7,800,000",,,2002-2003,
Milwaukee Bucks,"24,000,000",,,0,"23,100,000","62,000,000","85,100,000","147,100,000","-15,100,000",,,2002-2003,
Los Angeles Lakers,"72,000,000",,,0,"170,000,000","69,000,000","65,200,000","134,200,000","35,800,000",,,2003-2004,
New York Knicks,"69,000,000",,,0,"170,000,000","96,000,000","88,300,000","184,300,000","-14,300,000",,,2003-2004,
Dallas Mavericks,"45,000,000",,,0,"117,000,000","83,000,000","67,600,000","150,600,000","-33,600,000",,,2003-2004,
Houston Rockets,"45,000,000",,,0,"125,000,000","59,000,000","30,500,000","89,500,000","35,500,000",,,2003-2004,
Chicago Bulls,"35,000,000",,,0,"123,000,000","57,000,000","29,200,000","86,200,000","36,800,000",,,2003-2004,
Detroit Pistons,"40,000,000",,,0,"121,000,000","57,000,000","41,000,000","98,000,000","23,000,000",,,2003-2004,
Phoenix Suns,"27,000,000",,,0,"111,000,000","66,000,000","24,900,000","90,900,000","20,100,000",,,2003-2004,
Philadelphia 76ers,"36,000,000",,,0,"107,000,000","63,000,000","36,800,000","99,800,000","7,200,000",,,2003-2004,
Boston Celtics,"39,000,000",,,0,"104,000,000","54,000,000","24,600,000","78,600,000","25,400,000",,,2003-2004,
Sacramento Kings,"54,000,000",,,0,"118,000,000","72,000,000","45,400,000","117,400,000","600,000",,,2003-2004,
San Antonio Spurs,"40,000,000",,,0,"108,000,000","50,000,000","31,300,000","81,300,000","26,700,000",,,2003-2004,
Indiana Pacers,"39,000,000",,,0,"104,000,000","61,000,000","40,400,000","101,400,000","2,600,000",,,2003-2004,
Cleveland Cavaliers,"27,000,000",,,0,"93,000,000","50,000,000","21,100,000","71,100,000","21,900,000",,,2003-2004,
Toronto Raptors,"32,000,000",,,0,"100,000,000","59,000,000","35,600,000","94,600,000","5,400,000",,,2003-2004,
New Jersey Nets,"38,000,000",,,0,"93,000,000","67,000,000","33,400,000","100,400,000","-7,400,000",,,2003-2004,
Minnesota Timberwolves,"35,000,000",,,0,"97,000,000","75,000,000","42,000,000","117,000,000","-20,000,000",,,2003-2004,
Miami Heat,"31,000,000",,,0,"93,000,000","50,000,000","24,400,000","74,400,000","18,600,000",,,2003-2004,
Washington Wizards,"28,000,000",,,0,"94,000,000","49,000,000","23,500,000","72,500,000","21,500,000",,,2003-2004,
Denver Nuggets,"27,000,000",,,0,"89,000,000","43,000,000","20,800,000","63,800,000","25,200,000",,,2003-2004,
Utah Jazz,"35,000,000",,,0,"88,000,000","38,000,000","22,500,000","60,500,000","27,500,000",,,2003-2004,
Portland Trail Blazers,"31,000,000",,,0,"88,000,000","74,000,000","61,000,000","135,000,000","-47,000,000",,,2003-2004,
Memphis Grizzlies,"28,000,000",,,0,"75,000,000","61,000,000","18,100,000","79,100,000","-4,100,000",,,2003-2004,
Atlanta Hawks,"20,000,000",,,0,"83,000,000","59,000,000","19,300,000","78,300,000","4,700,000",,,2003-2004,
Golden State Warriors,"24,000,000",,,0,"76,000,000","56,000,000","11,900,000","67,900,000","8,100,000",,,2003-2004,
New Orleans Hornets,"27,000,000",,,0,"80,000,000","52,000,000","10,900,000","62,900,000","17,100,000",,,2003-2004,
Los Angeles Clippers,"25,000,000",,,0,"77,000,000","42,000,000","12,600,000","54,600,000","22,400,000",,,2003-2004,
Orlando Magic,"23,000,000",,,0,"78,000,000","54,000,000","11,800,000","65,800,000","12,200,000",,,2003-2004,
Seattle Supersonics,"23,000,000",,,0,"73,000,000","55,000,000","17,500,000","72,500,000","500,000",,,2003-2004,
Milwaukee Bucks,"26,000,000",,,0,"77,000,000","57,000,000","15,200,000","72,200,000","4,800,000",,,2003-2004,
New York Knicks,"74,000,000",,,"107,000,000","181,000,000","100,000,000","55,800,000","155,800,000","25,200,000",,,2004-2005,
Los Angeles Lakers,"60,000,000",,,"96,000,000","156,000,000","66,000,000","51,800,000","117,800,000","38,200,000",,,2004-2005,
Houston Rockets,"45,000,000",,,"96,000,000","141,000,000","64,000,000","51,200,000","115,200,000","25,800,000",,,2004-2005,
Chicago Bulls,"38,000,000",,,"98,000,000","136,000,000","61,000,000","40,300,000","101,300,000","34,700,000",,,2004-2005,
Dallas Mavericks,"51,000,000",,,"73,000,000","124,000,000","95,000,000","46,800,000","141,800,000","-17,800,000",,,2004-2005,
Detroit Pistons,"45,000,000",,,"89,000,000","134,000,000","58,000,000","51,000,000","109,000,000","25,000,000",,,2004-2005,
Phoenix Suns,"38,000,000",,,"94,000,000","132,000,000","48,000,000","43,600,000","91,600,000","40,400,000",,,2004-2005,
Miami Heat,"45,000,000",,,"74,000,000","119,000,000","63,000,000","44,500,000","107,500,000","11,500,000",,,2004-2005,
Cleveland Cavaliers,"30,000,000",,,"72,000,000","102,000,000","52,000,000","34,000,000","86,000,000","16,000,000",,,2004-2005,
Boston Celtics,"42,000,000",,,"68,000,000","110,000,000","68,000,000","33,600,000","101,600,000","8,400,000",,,2004-2005,
Philadelphia 76ers,"35,000,000",,,"75,000,000","110,000,000","71,000,000","38,300,000","109,300,000","700,000",,,2004-2005,
San Antonio Spurs,"47,000,000",,,"74,000,000","121,000,000","51,000,000","46,300,000","97,300,000","23,700,000",,,2004-2005,
Sacramento Kings,"52,000,000",,,"67,000,000","119,000,000","64,000,000","45,000,000","109,000,000","10,000,000",,,2004-2005,
Indiana Pacers,"40,000,000",,,"68,000,000","108,000,000","59,000,000","40,500,000","99,500,000","8,500,000",,,2004-2005,
Washington Wizards,"34,000,000",,,"72,000,000","106,000,000","53,000,000","38,700,000","91,700,000","14,300,000",,,2004-2005,
Minnesota Timberwolves,"29,000,000",,,"72,000,000","101,000,000","73,000,000","33,000,000","106,000,000","-5,000,000",,,2004-2005,
Charlotte Bobcats,"21,000,000",,,"52,000,000","73,000,000","28,000,000","35,200,000","63,200,000","9,800,000",,,2004-2005,
Memphis Grizzlies,"33,000,000",,,"65,000,000","98,000,000","70,000,000","43,600,000","113,600,000","-15,600,000",,,2004-2005,
Denver Nuggets,"28,000,000",,,"66,000,000","94,000,000","48,000,000","33,700,000","81,700,000","12,300,000",,,2004-2005,
Toronto Raptors,"27,000,000",,,"67,000,000","94,000,000","65,000,000","30,300,000","95,300,000","-1,300,000",,,2004-2005,
Utah Jazz,"33,000,000",,,"58,000,000","91,000,000","47,000,000","34,600,000","81,600,000","9,400,000",,,2004-2005,
New Jersey Nets,"33,000,000",,,"54,000,000","87,000,000","60,000,000","33,100,000","93,100,000","-6,100,000",,,2004-2005,
Atlanta Hawks,"20,000,000",,,"67,000,000","87,000,000","44,000,000","34,100,000","78,100,000","8,900,000",,,2004-2005,
Los Angeles Clippers,"27,000,000",,,"56,000,000","83,000,000","44,000,000","24,400,000","68,400,000","14,600,000",,,2004-2005,
Orlando Magic,"24,000,000",,,"58,000,000","82,000,000","71,000,000","20,500,000","91,500,000","-9,500,000",,,2004-2005,
Golden State Warriors,"25,000,000",,,"56,000,000","81,000,000","58,000,000","26,100,000","84,100,000","-3,100,000",,,2004-2005,
Seattle Supersonics,"27,000,000",,,"54,000,000","81,000,000","57,000,000","31,800,000","88,800,000","-7,800,000",,,2004-2005,
Milwaukee Bucks,"25,000,000",,,"53,000,000","78,000,000","61,000,000","18,500,000","79,500,000","-1,500,000",,,2004-2005,
Portland Trail Blazers,"26,000,000",,,"52,000,000","78,000,000","87,000,000","22,500,000","109,500,000","-31,500,000",,,2004-2005,
New Orleans Hornets,"21,000,000",,,"57,000,000","78,000,000","56,000,000","25,900,000","81,900,000","-3,900,000",,,2004-2005,
New York Knicks,"74,000,000",,,"111,000,000","185,000,000","118,000,000","106,000,000","224,000,000","-39,000,000",,,2005-2006,
Los Angeles Lakers,"65,000,000",,,"102,000,000","167,000,000","77,000,000","56,700,000","133,700,000","33,300,000",,,2005-2006,
Dallas Mavericks,"57,000,000",,,"83,000,000","140,000,000","97,000,000","67,400,000","164,400,000","-24,400,000",,,2005-2006,
Chicago Bulls,"43,000,000",,,"106,000,000","149,000,000","61,000,000","39,500,000","100,500,000","48,500,000",,,2005-2006,
Houston Rockets,"42,000,000",,,"100,000,000","142,000,000","73,000,000","47,600,000","120,600,000","21,400,000",,,2005-2006,
Detroit Pistons,"40,000,000",,,"98,000,000","138,000,000","63,000,000","53,200,000","116,200,000","21,800,000",,,2005-2006,
Phoenix Suns,"46,000,000",,,"86,000,000","132,000,000","57,000,000","40,500,000","97,500,000","34,500,000",,,2005-2006,
Miami Heat,"53,000,000",,,"79,000,000","132,000,000","64,000,000","47,500,000","111,500,000","20,500,000",,,2005-2006,
San Antonio Spurs,"46,000,000",,,"76,000,000","122,000,000","67,000,000","43,300,000","110,300,000","11,700,000",,,2005-2006,
Cleveland Cavaliers,"36,000,000",,,"79,000,000","115,000,000","55,000,000","36,100,000","91,100,000","23,900,000",,,2005-2006,
Sacramento Kings,"50,000,000",,,"76,000,000","126,000,000","67,000,000","42,600,000","109,600,000","16,400,000",,,2005-2006,
Philadelphia 76ers,"31,000,000",,,"79,000,000","110,000,000","78,000,000","38,200,000","116,200,000","-6,200,000",,,2005-2006,
Boston Celtics,"39,000,000",,,"72,000,000","111,000,000","66,000,000","29,300,000","95,300,000","15,700,000",,,2005-2006,
Indiana Pacers,"38,000,000",,,"72,000,000","110,000,000","79,000,000","43,500,000","122,500,000","-12,500,000",,,2005-2006,
Washington Wizards,"33,000,000",,,"75,000,000","108,000,000","58,000,000","35,200,000","93,200,000","14,800,000",,,2005-2006,
New Jersey Nets,"39,000,000",,,"54,000,000","93,000,000","70,000,000","31,000,000","101,000,000","-8,000,000",,,2005-2006,
Toronto Raptors,"28,000,000",,,"77,000,000","105,000,000","68,000,000","28,600,000","96,600,000","8,400,000",,,2005-2006,
Memphis Grizzlies,"33,000,000",,,"68,000,000","101,000,000","71,000,000","48,500,000","119,500,000","-18,500,000",,,2005-2006,
Denver Nuggets,"28,000,000",,,"72,000,000","100,000,000","60,000,000","30,600,000","90,600,000","9,400,000",,,2005-2006,
Minnesota Timberwolves,"24,000,000",,,"79,000,000","103,000,000","65,000,000","33,400,000","98,400,000","4,600,000",,,2005-2006,
Utah Jazz,"34,000,000",,,"62,000,000","96,000,000","61,000,000","33,600,000","94,600,000","1,400,000",,,2005-2006,
Los Angeles Clippers,"33,000,000",,,"62,000,000","95,000,000","55,000,000","24,300,000","79,300,000","15,700,000",,,2005-2006,
Orlando Magic,"27,000,000",,,"62,000,000","89,000,000","79,000,000","30,400,000","109,400,000","-20,400,000",,,2005-2006,
Charlotte Bobcats,"23,000,000",,,"66,000,000","89,000,000","37,000,000","40,100,000","77,100,000","11,900,000",,,2005-2006,
Atlanta Hawks,"21,000,000",,,"71,000,000","92,000,000","47,000,000","32,100,000","79,100,000","12,900,000",,,2005-2006,
Seattle Supersonics,"24,000,000",,,"57,000,000","81,000,000","53,000,000","24,400,000","77,400,000","3,600,000",,,2005-2006,
Golden State Warriors,"30,000,000",,,"59,000,000","89,000,000","61,000,000","21,700,000","82,700,000","6,300,000",,,2005-2006,
Milwaukee Bucks,"29,000,000",,,"58,000,000","87,000,000","67,000,000","18,500,000","85,500,000","1,500,000",,,2005-2006,
New Orleans Hornets,"23,000,000",,,"60,000,000","83,000,000","45,000,000","25,100,000","70,100,000","12,900,000",,,2005-2006,
Portland Trail Blazers,"21,000,000",,,"56,000,000","77,000,000","66,000,000","26,200,000","92,200,000","-15,200,000",,,2005-2006,
New York Knicks,"74,000,000",,,"122,000,000","196,000,000","122,000,000","116,200,000","238,200,000","-42,200,000",,,2006-2007,
Los Angeles Lakers,"68,000,000",,,"102,000,000","170,000,000","81,000,000","57,200,000","138,200,000","31,800,000",,,2006-2007,
Chicago Bulls,"50,000,000",,,"111,000,000","161,000,000","59,000,000","42,700,000","101,700,000","59,300,000",,,2006-2007,
Detroit Pistons,"48,000,000",,,"106,000,000","154,000,000","63,000,000","51,800,000","114,800,000","39,200,000",,,2006-2007,
Houston Rockets,"44,000,000",,,"105,000,000","149,000,000","68,000,000","51,300,000","119,300,000","29,700,000",,,2006-2007,
Dallas Mavericks,"48,000,000",,,"92,000,000","140,000,000","91,000,000","50,600,000","141,600,000","-1,600,000",,,2006-2007,
