Player,Year,Position,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,PlayerBio_URL,Formal_Stated_Major,College_Major_Group,Season,DBPediaCollege_Name
Keith Lumpkin,SO,OL,8-Jun,310,"Montclair, NJ",Montclair,NJ,St. Peterês Prep,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=15,Undeclared,Undeclared,2012-2013,Rutgers University
Kenneth Kirksey,SO,DL,1-Jun,275,"Daytona Beach, FL",Daytona Beach,FL,"Mainland High School, Fork Union Military Academy",,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4601,Undeclared,Undeclared,2012-2013,Rutgers University
Kevin Marquez,FR,DE,1-Jun,235,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,Egg Harbor Township High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4898,Undeclared,Undeclared,2012-2013,Rutgers University
Kevin Snyder,SO,LB,3-Jun,225,"Mechanicsburg, PA",Mechanicsburg,PA,Cumberland Valley High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=22,Undeclared,Undeclared,2012-2013,Rutgers University
Kyle Federico,FR,K,Jun-00,195,"Ponte Vedra, FL",Ponte Vedra,FL,Ponte Vedra High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4654,Undeclared,Undeclared,2012-2013,Rutgers University
Leonte Carroo,FR,WR,1-Jun,200,"Edison, NJ",Edison,NJ,Don Bosco Prep,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4865,Undeclared,Undeclared,2012-2013,Rutgers University
Lorenzo Waters,JR,DB,Jun-00,200,"Accokeek, MD",Accokeek,MD,DeMatha Catholic High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4522,Political Science,Political Science,2012-2013,Rutgers University
Marcus Thompson,JR,DE,2-Jun,260,"Oakland Park, FL",Oakland Park,FL,Boyd Anderson High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4532,Labor Studies,Labor Studies,2012-2013,Rutgers University
Marquise Wright,SO,DL,3-Jun,285,"Englewood, NJ",Englewood,NJ,Paramus Catholic High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=25,Undeclared,Undeclared,2012-2013,Rutgers University
Marvin Booker,SR,DE,2-Jun,240,"Piscataway, NJ",Piscataway,NJ,Piscataway High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=3942,Labor Studies,Labor Studies,2012-2013,Rutgers University
Mason Robinson,SR,DB,10-May,185,"Somerville, NJ",Somerville,NJ,Somerville High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4015,Labor Studies,Labor Studies,2012-2013,Rutgers University
Matt McBride,SR,OL,6-Jun,295,"Hicksville, NY",Hicksville,NY,Holy Trinity High School ,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4482,Criminal Justice,Criminal Studies,2012-2013,Rutgers University
Max Issaka,SO,DE,3-Jun,255,"Port Reading, NJ",Port Reading,NJ,Woodbridge High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4482,Undeclared,Undeclared,2012-2013,Rutgers University
Mezo Cooper,JR,DB,Jun-00,200,"Providence, RI",Providence,RI,Classical High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4733,Public Health,Public Health,2012-2013,Rutgers University
Michael Burton,JR,FB,Jun-00,230,"Long Valley, NJ",Long Valley,NJ,West Morris Central High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4531,Communication,Communications,2012-2013,Rutgers University
Michael Larrow,SR,DL,4-Jun,270,"Union, NJ",Union,NJ,Union High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4359,Psychology,Psychology,2012-2013,Rutgers University
Mike Bimonte,SO,QB,4-Jun,220,"Manalapan, NJ",Manalapan,NJ,Manalapan High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=2,Undeclared,Undeclared,2012-2013,Rutgers University
Miles Shuler,SO,WR,10-May,175,"Long Branch, NJ",Long Branch,NJ,Long Branch High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=21,Undeclared,Undeclared,2012-2013,Rutgers University
Myles Jackson,SO,DE,4-Jun,235,"West Chester, PA",West Chester,PA,West Chester Henderson High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=10,Undeclared,Undeclared,2012-2013,Rutgers University
Nick Borgese,SO,K,11-May,175,"Hamburg, NY",Hamburg,NY,Saint Francis High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4655,Undeclared,Undeclared,2012-2013,Rutgers University
