Number,Player,PlayerBio_URL,Position,Year,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
29,Jarvis Jones,http://www.georgiadogs.com/sports/m-footbl/mtt/jarvis_jones_741226.html,OLB,JR,6/3/13,241,"Columbus, GA",Columbus,GA,Carver,University of Southern California,,,,University of Georgia,2012-2013
8,Jesse Jones,http://www.georgiadogs.com/sports/m-footbl/mtt/jesse_jones_767335.html,S,RS FR,6/1/00,190,"Habersham, GA",Habersham,GA,Habersham Central,,,,,University of Georgia,2012-2013
33,Kyle Karempelis,http://www.georgiadogs.com/sports/m-footbl/mtt/kyle_karempelis_767344.html,TB,SO,5/9/13,183,"Roswell, GA",Roswell,GA,Wesleyan School,,,,,University of Georgia,2012-2013
12,Tavarres King,http://www.georgiadogs.com/sports/m-footbl/mtt/tavarres_king_647465.html,FLK,SR,6/1/13,200,"Mount Airy, GA",Mount Airy,GA,Habersham Central,,,,,University of Georgia,2012-2013
53,Clint Kirk,http://www.georgiadogs.com/sports/m-footbl/mtt/clint_kirk_811556.html,DE,JR,6/3/13,275,"Buford, GA",Buford,GA,Buford,,,,,University of Georgia,2012-2013
64,Dallas Lee,http://www.georgiadogs.com/sports/m-footbl/mtt/dallas_lee_647545.html,OG,JR,6/4/13,300,"Buford, GA",Buford,GA,Buford,,,,,University of Georgia,2012-2013
16,Christian LeMay,http://www.georgiadogs.com/sports/m-footbl/mtt/christian_lemay_742375.html,QB,RS FR,6/2/13,201,"Matthews, NC",Matthews,NC,Butler,,,,,University of Georgia,2012-2013
99,Jamie Lindley,http://www.georgiadogs.com/sports/m-footbl/mtt/jamie_lindley_647565.html,PK,SR,5/11/13,183,"Savannah, GA",Savannah,GA,Savannah Christian,,,,,University of Georgia,2012-2013
74,Austin Long,http://www.georgiadogs.com/sports/m-footbl/mtt/austin_long_647566.html,OT,JR,6/5/13,324,"Memphis, TN",Memphis,TN,Briarcrest Christian,,,,,University of Georgia,2012-2013
66,Hunter Long,http://www.georgiadogs.com/sports/m-footbl/mtt/hunter_long_742376.html,OG,SO,6/4/13,310,"Memphis, TN",Memphis,TN,Briarcrest Christian,,,,,University of Georgia,2012-2013
43,Tommy Long,http://www.georgiadogs.com/sports/m-footbl/mtt/tommy_long_823511.html,ILB,FR,6/2/13,220,"Marietta, GA",Marietta,GA,Wheeler,,,,,University of Georgia,2012-2013
83,Jack Loonam,http://www.georgiadogs.com/sports/m-footbl/mtt/jack_loonam_770572.html,TE,RS FR,6/1/00,216,"Lexington, SC",Lexington,SC,Lexington,,,,,University of Georgia,2012-2013
88,Ricky Lowe,http://www.georgiadogs.com/sports/m-footbl/mtt/ricky_lowe_767350.html,DE,SR,6/8/13,242,"Duluth, GA",Duluth,GA,Duluth,,,,,University of Georgia,2012-2013
