Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
45,Lane Hovey,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205503516&Q_SEASON=2012,WR,6/4/13,190,FR,"Adel, Iowa ",Adel,IOWA,Adel-Desoto-Minburn High School,,,,,University of Nebraska at Lincoln,2012-2013
85,KC Hyland,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515270&Q_SEASON=2012,WR,6/6/13,215,SR,"Lincoln, Neb. ",Lincoln,NEB,Pius X High School,,,,,University of Nebraska at Lincoln,2012-2013
21,Charles Jackson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205097795&Q_SEASON=2012,CB,5/11/13,175,FR,"Spring, Texas ",Spring,TEXAS,Klein Collins High School,,,,,University of Nebraska at Lincoln,2012-2013
1,Harvey Jackson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880465&Q_SEASON=2012,S,6/2/13,210,SO,"Fresno, Texas ",Fresno,TEXAS,Hightower High School,,,,,University of Nebraska at Lincoln,2012-2013
72,Justin Jackson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515276&Q_SEASON=2012,OL,6/3/13,280,SR,"Roca, Neb. ",Roca,NEB,Norris High School,,,,,University of Nebraska at Lincoln,2012-2013
29,Seth Jameson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3756167&Q_SEASON=2012,CB,6/1/13,200,JR,"Southlake, Texas ",Southlake,TEXAS,Southlake Carroll High School,,,,,University of Nebraska at Lincoln,2012-2013
35,Andy Janovich,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371865&Q_SEASON=2012,FB,6/1/13,215,FR,"Grenta, Neb. ",Grenta,NEB,Gretna High School,,,,,University of Nebraska at Lincoln,2012-2013
16,Stanley Jean-Baptiste,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204967710&Q_SEASON=2012,CB,6/3/13,215,JR,"Miami, Fla. ",Miami,FLA,Westlake Prep High School,Fort Scott Community College,,,,University of Nebraska at Lincoln,2012-2013
50,Garret Johns,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371868&Q_SEASON=2012,OL,6/1/00,275,FR,"Aurora, Neb. ",Aurora,NEB,Aurora High School,,,,,University of Nebraska at Lincoln,2012-2013
12,Ron Kellogg III,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662486&Q_SEASON=2012,QB,6/1/13,210,JR,"Omaha, Neb. ",Omaha,NEB,Westside High School,,,,,University of Nebraska at Lincoln,2012-2013
44,Micah Kreikemeier,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515279&Q_SEASON=2012,LB,6/3/13,220,SR,"West Point, Neb. ",West Point,NEB,Central Catholic High School,,,,,University of Nebraska at Lincoln,2012-2013
53,Adam Kucera,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205089171&Q_SEASON=2012,OL,6/6/13,300,RFR,"Litchfield, Neb. ",Litchfield,NEB,Litchfield High School,,,,,University of Nebraska at Lincoln,2012-2013
24,Murat Kuzu,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205089172&Q_SEASON=2012,IB,5/11/13,195,RFR,"Plano, Texas ",Plano,TEXAS,Plano Senior High School,,,,,University of Nebraska at Lincoln,2012-2013
