Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
60,Jack Miller,http://www.mgoblue.com/sports/m-footbl/mtt/jack_miller_765127.html,OL,6/4/13,288,RS FR,"Perrysburg, OHIO",Perrysburg,OHIO,St. John's Jesuit,,,,,University of Michigan,2012-2013
61,Graham Glasgow,http://www.mgoblue.com/sports/m-footbl/mtt/graham_glasgow_765118.html,OL,6/6/13,305,RS FR,"Aurora, ILL",Aurora,ILL,Marmion Academy,,,,,University of Michigan,2012-2013
62,Blake Bars,http://www.mgoblue.com/sports/m-footbl/mtt/blake_bars_810565.html,OL,6/5/13,291,FR,"Nashville, TENN",Nashville,TENN,Montgomery Bell Academy,,,,,University of Michigan,2012-2013
63,Ben Pliska,http://www.mgoblue.com/sports/m-footbl/mtt/ben_pliska_810689.html,OL,6/3/13,269,FR,"Kirkland, WASH",Kirkland,WASH,Lake Washington High School,,,,,University of Michigan,2012-2013
65,Patrick Omameh,http://www.mgoblue.com/sports/m-footbl/mtt/patrick_omameh_374965.html,OL,6/4/13,305,RS SR,"Columbus, OHIO",Columbus,OHIO,St. Francis DeSales,,,,,University of Michigan,2012-2013
66,Dan Liesman,http://www.mgoblue.com/sports/m-footbl/mtt/dan_liesman_828074.html,LB,6/2/13,212,FR,"Lansing, MI",Lansing,MI,Lansing Catholic High School,,,,,University of Michigan,2012-2013
67,Nathan Brink,http://www.mgoblue.com/sports/m-footbl/mtt/nathan_brink_468918.html,DT,6/5/13,275,RS JR,"Holland, MICH",Holland,MICH,Holland Christian,,,,,University of Michigan,2012-2013
67,Kyle Kalis,http://www.mgoblue.com/sports/m-footbl/mtt/kyle_kalis_810576.html,OL,6/5/13,294,FR,"Lakewood, OHIO",Lakewood,OHIO,Saint Edward High School,,,,,University of Michigan,2012-2013
69,Erik Gunderson,http://www.mgoblue.com/sports/m-footbl/mtt/erik_gunderson_470992.html,OL,6/8/13,303,RS JR,"Milan, MICH",Milan,MICH,Milan,,,,,University of Michigan,2012-2013
69,Willie Henry,http://www.mgoblue.com/sports/m-footbl/mtt/willie_henry_810572.html,DT,6/2/13,314,FR,"Cleveland, OHIO",Cleveland,OHIO,Glenville High School,,,,,University of Michigan,2012-2013
70,Kristian Mateus,http://www.mgoblue.com/sports/m-footbl/mtt/kristian_mateus_719076.html,OL,6/7/13,309,RS SO,"Ada, MICH",Ada,MICH,Forest Hills Central,,,,,University of Michigan,2012-2013
71,Ben Braden,http://www.mgoblue.com/sports/m-footbl/mtt/ben_braden_810566.html,OL,6/6/13,308,FR,"Rockford, MICH",Rockford,MICH,Rockford High School,,,,,University of Michigan,2012-2013
73,William Campbell,http://www.mgoblue.com/sports/m-footbl/mtt/william_campbell_470692.html,DT,6/5/13,308,SR,"Detroit, MICH",Detroit,MICH,Cass Technical,,,,,University of Michigan,2012-2013
75,Michael Schofield,http://www.mgoblue.com/sports/m-footbl/mtt/michael_schofield_472361.html,OL,6/7/13,300,RS JR,"Orland Park, ILL",Orland Park,ILL,Carl Sandburg,,,,,University of Michigan,2012-2013
76,Quinton Washington,http://www.mgoblue.com/sports/m-footbl/mtt/quinton_washington_472533.html,DT,6/4/13,300,RS JR,"St. Stephen, SC",St. Stephen,SC,Timberland,,,,,University of Michigan,2012-2013
77,Taylor Lewan,http://www.mgoblue.com/sports/m-footbl/mtt/taylor_lewan_471585.html,OL,6/8/13,309,RS JR,"Scottsdale, ARIZ",Scottsdale,ARIZ,Chaparral,,,,,University of Michigan,2012-2013
78,Erik Magnuson,http://www.mgoblue.com/sports/m-footbl/mtt/erik_magnuson_810577.html,OL,6/6/13,285,FR,"San Diego, CALIF",San Diego,CALIF,La Costa Canyon High School,,,,,University of Michigan,2012-2013
79,Dan Gibbs,http://www.mgoblue.com/sports/m-footbl/mtt/dan_gibbs_810680.html,OL,6/7/13,311,FR,"Birmingham, MICH",Birmingham,MICH,Seaholm High School,,,,,University of Michigan,2012-2013
81,Mike Kwiatkowski,http://www.mgoblue.com/sports/m-footbl/mtt/mike_kwiatkowski_745854.html,TE,6/5/13,262,RS SR,"Macomb, MICH",Macomb,MICH,Dakota,,,,,University of Michigan,2012-2013
82,Amara Darboh,http://www.mgoblue.com/sports/m-footbl/mtt/amara_darboh_811603.html,WR,6/2/13,220,FR,"Des Moines, IOWA",Des Moines,IOWA,Dowling Catholic,,,,,University of Michigan,2012-2013
84,A.J. Williams,http://www.mgoblue.com/sports/m-footbl/mtt/aj_williams_810585.html,TE,6/6/13,283,FR,"Cincinnati, OHIO",Cincinnati,OHIO,Sycamore High School,,,,,University of Michigan,2012-2013
85,Joe Reynolds,http://www.mgoblue.com/sports/m-footbl/mtt/joe_reynolds_472279.html,WR,6/1/13,196,RS JR,"Rochester, MICH",Rochester,MICH,Rochester Adams,,,,,University of Michigan,2012-2013
86,Jehu Chesson,http://www.mgoblue.com/sports/m-footbl/mtt/jehu_chesson_810567.html,WR,6/3/13,183,FR,"St. Louis, MO",St. Louis,MO,Ladue Horton Watkins High School,,,,,University of Michigan,2012-2013
87,Brandon Moore,http://www.mgoblue.com/sports/m-footbl/mtt/brandon_moore_471601.html,TE,6/5/13,268,RS SR,"Trotwood, OHIO",Trotwood,OHIO,Trotwood-Madison,,,,,University of Michigan,2012-2013
88,Craig Roh,http://www.mgoblue.com/sports/m-footbl/mtt/craig_roh_472309.html,DE,6/5/13,281,SR,"Scottsdale, ARIZ",Scottsdale,ARIZ,Chaparral,,,,,University of Michigan,2012-2013
91,Alex Mitropoulos-Rundus,http://www.mgoblue.com/sports/m-footbl/mtt/alex_mitropoulos_rundus_828168.html,TE,6/2/13,244,RS FR,"Ann Arbor, MICH",Ann Arbor,MICH,Pioneer High School,,,,,University of Michigan,2012-2013
91,Kenneth Allen,http://www.mgoblue.com/sports/m-footbl/mtt/kenneth_allen_810677.html,K/P,6/3/13,205,FR,"Fenton, MICH",Fenton,MICH,Fenton High School,,,,,University of Michigan,2012-2013
92,Keith Heitzman,http://www.mgoblue.com/sports/m-footbl/mtt/keith_heitzman_765120.html,DE,6/3/13,270,RS FR,"Hilliard, OHIO",Hilliard,OHIO,Hilliard Davidson,,,,,University of Michigan,2012-2013
94,Jordan Paskorz,http://www.mgoblue.com/sports/m-footbl/mtt/jordan_paskorz_716245.html,TE,6/3/13,254,RS SO,"Gibsonia, PA",Gibsonia,PA,Hampton,,,,,University of Michigan,2012-2013
94,Curt Graman,http://www.mgoblue.com/sports/m-footbl/mtt/curt_graman_470990.html,LS,6/5/13,205,RS JR,"Cincinnati, OHIO",Cincinnati,OHIO,Elder,,,,,University of Michigan,2012-2013
95,Anthony Capatina,http://www.mgoblue.com/sports/m-footbl/mtt/anthony_capatina_811778.html,DB,5/9/13,180,RS SO,"Novi, MICH",Novi,MICH,Detroit Catholic Central High School,,,,,University of Michigan,2012-2013
95,Michael Jocz,http://www.mgoblue.com/sports/m-footbl/mtt/michael_jocz_817161.html,TE,6/4/13,210,FR,"Novi, MICH",Novi,MICH,Novi High School,,,,,University of Michigan,2012-2013
96,Ryan Glasgow,http://www.mgoblue.com/sports/m-footbl/mtt/ryan_glasgow_810681.html,DL,6/4/13,294,FR,"Aurora, ILL",Aurora,ILL,Marmion Academy,,,,,University of Michigan,2012-2013
97,Brennen Beyer,http://www.mgoblue.com/sports/m-footbl/mtt/brennen_beyer_765107.html,DE,6/3/13,252,SO,"Canton, MICH",Canton,MICH,Plymouth,,,,,University of Michigan,2012-2013
99,Matthew Godin,http://www.mgoblue.com/sports/m-footbl/mtt/matthew_godin_810571.html,DE,6/6/13,277,FR,"Novi, MICH",Novi,MICH,Catholic Central High School,,,,,University of Michigan,2012-2013
