Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
70,Byron Jerideau,http://www.gamecocksonline.com/sports/m-footbl/mtt/byron_jerideau_710238.html,DT,6/1/13,316,RS SR,"Green Pond, S.C.",Green Pond,SC,Colleton County,Fort Scott C.C.,,,,University of South Carolina,2012-2013
55,T.J. Johnson,http://www.gamecocksonline.com/sports/m-footbl/mtt/tj_johnson_361550.html,OC,6/6/13,319,RS SR,"Aynor, S.C.",Aynor,SC,Aynor,,,,,University of South Carolina,2012-2013
10,Nick Jones,http://www.gamecocksonline.com/sports/m-footbl/mtt/nick_jones_710241.html,WR,5/7/13,184,RS SO,"Moore, S.C.",Moore,SC,Byrnes,,,,,University of South Carolina,2012-2013
21,Marcus Lattimore,http://www.gamecocksonline.com/sports/m-footbl/mtt/marcus_lattimore_710243.html,TB,,218,JR,"Duncan, S.C.",Duncan,SC,Byrnes,,,,,University of South Carolina,2012-2013
15,Jimmy Legree,http://www.gamecocksonline.com/sports/m-footbl/mtt/jimmy_legree_438060.html,CB,6/1/00,189,RS JR,"Beaufort, S.C.",Beaufort,SC,Beaufort,,,,,University of South Carolina,2012-2013
22,Kaiwan Lewis,http://www.gamecocksonline.com/sports/m-footbl/mtt/kaiwan_lewis_793020.html,LB,6/1/00,225,FR,"Hammonton, N.J.",Hammonton,NJ,St. Joseph,,,,,University of South Carolina,2012-2013
29,Blair Lowery,http://www.gamecocksonline.com/sports/m-footbl/mtt/blair_lowery_721814.html,TB,6/1/13,178,RS SR,"Irmo, S.C.",Irmo,SC,Dutch Fork,,,,,University of South Carolina,2012-2013
40,Kyle Madden,http://www.gamecocksonline.com/sports/m-footbl/mtt/kyle_madden_607766.html,FB,6/3/13,248,RS SR,"Powder Springs, Ga.",Powder Springs,GA,Harrison,UCF,,,,University of South Carolina,2012-2013
86,Reilly Madden,http://www.gamecocksonline.com/sports/m-footbl/mtt/reilly_madden_818200.html,P,6/1/00,185,FR,"Vienna, Va.",Vienna,VA,Paul VI Catholic,,,,,University of South Carolina,2012-2013
25,Kadetrix Marcus,http://www.gamecocksonline.com/sports/m-footbl/mtt/kadetrix_marcus_742962.html,SS,6/1/13,185,SO,"Stone Mountain, Ga.",Stone Mountain,GA,Stephenson,,,,,University of South Carolina,2012-2013
