Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
90,Tryn Mesarch,http://www.utahstateaggies.com/sports/m-footbl/mtt/tryn_mesarch_449916.html,6/5/13,256,DE,FR,RS,"Palm Desert, Calif.",Palm Desert,CALIF,Palm Desert High School,,,,,Utah State University,2012-2013
91,D.J. Tialavea,http://www.utahstateaggies.com/sports/m-footbl/mtt/dj_tialavea_449906.html,6/4/13,260,TE,JR,2L,"West Jordan, Utah",West Jordan,UTAH,West Jordan,,,,,Utah State University,2012-2013
92,Derek Keller,http://www.utahstateaggies.com/sports/m-footbl/mtt/derek_keller_742457.html,6/3/13,234,TE,FR,RS,"Draper, Utah",Draper,UTAH,Alta,,,,,Utah State University,2012-2013
93,Nick Diaz,http://www.utahstateaggies.com/sports/m-footbl/mtt/nick_diaz_710781.html,5/7/13,197,PK,SO,RS,"Redondo Beach, Calif.",Redondo Beach,CALIF,Redondo Union,,,,,Utah State University,2012-2013
93,Carson Rawle,http://www.utahstateaggies.com/sports/m-footbl/mtt/carson_rawle_822179.html,6/2/13,260,DL,FR,HS,"Provo, Utah",Provo,UTAH,Timpview,,,,,Utah State University,2012-2013
94,Eric Berntson,http://www.utahstateaggies.com/sports/m-footbl/mtt/eric_berntson_793787.html,6/4/13,258,DL,FR,HS,"Smithfield, Utah",Smithfield,UTAH,Sky View,,,,,Utah State University,2012-2013
95,Tevita Vaifoou,http://www.utahstateaggies.com/sports/m-footbl/mtt/tevita_vaifoou_717035.html,6/1/13,267,DL,JR,1L,"Hauula, Hawaii",Hauula,HAWAII,Kahuku,,,,,Utah State University,2012-2013
96,Elvis Kamana-Matagi,http://www.utahstateaggies.com/sports/m-footbl/mtt/elvis_kamana_matagi_717037.html,6/1/13,288,DL,SO,1L,"Maui, Hawaii",Maui,HAWAII,King Kekaulike,,,,,Utah State University,2012-2013
97,Jordan Nielsen,http://www.utahstateaggies.com/sports/m-footbl/mtt/jordan_nielsen_759416.html,6/5/13,253,DL,FR,RS,"Smithfield, Utah",Smithfield,UTAH,Sky View High School,,,,,Utah State University,2012-2013
98,Sini Tauauve'a,http://www.utahstateaggies.com/sports/m-footbl/mtt/sini_tauauvea_809298.html,6/2/13,339,DL,JR,JC,"West Valley City, Utah",West Valley City,UTAH,Hunter,Snow College,,,,Utah State University,2012-2013
99,B.J. Larsen,http://www.utahstateaggies.com/sports/m-footbl/mtt/bj_larsen_717032.html,6/5/13,268,DL,JR,1L,"Logan, Utah",Logan,UTAH,Logan,,,,,Utah State University,2012-2013
