Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
40,Jarrod Lawson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556833&Q_SEASON=2012,RB,5/8/13,190,FR,"San Jose, Calif. ",San Jose,Calif,Valley Christian High School,,,,,San Jose State University,2012-2013
42,Ina Liaina,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1548962&Q_SEASON=2012,RB,6/1/13,243,SR,"Oxnard, Calif. ",Oxnard,Calif,Rio Mesa High School,,,,,San Jose State University,2012-2013
84,Sean Linton,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973900&Q_SEASON=2012,WR,6/1/13,186,SO,"La Mesa, Calif. ",La Mesa,Calif,Helix High School,,,,,San Jose State University,2012-2013
12,Austin Lopez,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205534942&Q_SEASON=2012,PK,6/1/00,170,FR,"Euless, Texas ",Euless,Texas,Trinity High School,,,,,San Jose State University,2012-2013
88,Travis Lorius,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205159108&Q_SEASON=2012,TE,6/5/13,245,JR,"San Jose, Calif. ",San Jose,Calif,Pioneer High School,Foothill College ,,,,San Jose State University,2012-2013
90,Nick Marini,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204977305&Q_SEASON=2012,RB,6/2/13,255,SO,"Mission Viejo, Calif. ",Mission Viejo,Calif,Mission Viejo High School,,,,,San Jose State University,2012-2013
55,Ryan McAleenan,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556822&Q_SEASON=2012,LB,6/1/13,210,FR,"Glendale, Calif. ",Glendale,Calif,St. Francis High School,,,,,San Jose State University,2012-2013
8,Jalynn McCain,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556832&Q_SEASON=2012,RB,5/10/13,220,FR,"Houston, Texas ",Houston,Texas,George Bush High School,,,,,San Jose State University,2012-2013
79,Jon Meyer,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205159044&Q_SEASON=2012,OT,6/5/13,275,JR,"San Jose, Calif. ",San Jose,Calif,Pioneer High School,Foothill College ,,,,San Jose State University,2012-2013
80,Max Miller,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205159119&Q_SEASON=2012,TE,6/6/13,243,JR,"Stuart, Iowa ",Stuart,Iowa,West Central Valley High School,Iowa Western College ,,,,San Jose State University,2012-2013
16,Miles Milner,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205561971&Q_SEASON=2012,CB,5/11/13,170,FR,"San Marcos, Calif. ",San Marcos,Calif,Mission Hills High School,,,,,San Jose State University,2012-2013
34,Derek Muaava,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973913&Q_SEASON=2012,LB,6/1/00,235,SO,"San Jose, Calif. ",San Jose,Calif,Independence High School,,,,,San Jose State University,2012-2013
45,Lemaki Musika,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205561967&Q_SEASON=2012,DE,6/1/13,265,FR,"Milpitas, Calif. ",Milpitas,Calif,Milpitas High School,,,,,San Jose State University,2012-2013
39,Cullen Newsome,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204976455&Q_SEASON=2012,S,5/10/13,207,SR,"Roseville, Calif. ",Roseville,Calif,Roseville High School,American River College ,,,,San Jose State University,2012-2013
91,Joe Nigos,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1180888&Q_SEASON=2012,DT,6/1/13,278,SR,"San Jose, Calif. ",San Jose,Calif,Oak Grove High School,,,,,San Jose State University,2012-2013
19,Kyle Nunn,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974026&Q_SEASON=2012,WR,6/2/13,198,JR,"Carson, Calif. ",Carson,Calif,Mira Costa High School,,,,,San Jose State University,2012-2013
6,"Damon Ogburn, Jr.",http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974029&Q_SEASON=2012,CB,5/11/13,181,JR,"San Bernardino, Calif. ",San Bernardino,Calif,Arroyo Valley High School,,,,,San Jose State University,2012-2013
64,Nick Oreglia,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562013&Q_SEASON=2012,OL,6/4/13,260,FR,"San Jose, Calif. ",San Jose,Calif,Willow Glen High School,,,,,San Jose State University,2012-2013
81,James Orth,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765272&Q_SEASON=2012,S,6/2/13,206,SR,"Modesto, Calif. ",Modesto,Calif,Modesto Central Catholic High School,,,,,San Jose State University,2012-2013
82,Ryan Otten,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1550635&Q_SEASON=2012,TE,6/6/13,245,SR,"Loomis, Calif. ",Loomis,Calif,Del Oro High School,,,,,San Jose State University,2012-2013
61,Amar Pal,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204765276&Q_SEASON=2012,OT,6/4/13,282,JR,"Santa Monica, Calif. ",Santa Monica,Calif,Santa Monica High School,,,,,San Jose State University,2012-2013
15,Doug Parrish,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974162&Q_SEASON=2012,LB,6/1/00,223,SO,"San Francisco, Calif. ",San Francisco,Calif,Sacred Heart Cathedral,,,,,San Jose State University,2012-2013
86,K.C. Pearce,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205179224&Q_SEASON=2012,WR,6/3/13,180,FR,"Visalia, Calif. ",Visalia,Calif,Redwood High School,,,,,San Jose State University,2012-2013
51,Shannon Penn,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205179186&Q_SEASON=2012,LB,6/2/13,235,SO,"Los Angeles, Calif. ",Los Angeles,Calif,Crenshaw High School,,,,,San Jose State University,2012-2013
