Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
19,Ryan McGriff,http://www.gatorzone.com/football/bios.php?year=2012&player_id=296,QB,"6' 0""",203,RFR,SQ,"Gainesville, FL",Gainesville,FL,Gainesville,,,,University of Florida,2012-2013
30,Michael McNeely,http://www.gatorzone.com/football/bios.php?year=2012&player_id=291,WR,"5' 8""",175,SO,1L,"Clearwater, FL",Clearwater,FL,Palm Harbor University,,,,University of Florida,2012-2013
22,Hugh Miles,http://www.gatorzone.com/football/bios.php?year=2012&player_id=328,DB,"5' 9""",192,RFR,HS,"Miami, FL",Miami,FL,Dade Christian,,,,University of Florida,2012-2013
87,A.J. Mobley,http://www.gatorzone.com/football/bios.php?year=2012&player_id=327,WR,"5' 10""",210,RSO,HS,"Fayetteville, GA",Fayetteville,GA,Starr's Mill,,,,University of Florida,2012-2013
17,Skyler Mornhinweg,http://www.gatorzone.com/football/bios.php?year=2012&player_id=346,QB,"6' 3""",204,FR,HS,"Philadelphia, PA",Philadelphia,PA,St. Joseph's Prep,,,,University of Florida,2012-2013
12,Antonio Morrison,http://www.gatorzone.com/football/bios.php?year=2012&player_id=325,LB,"6' 1""",218,FR,HS,"Bolingbrook, ILL",Bolingbrook,ILL,Bolingbrook,,,,University of Florida,2012-2013
10,Tyler Murphy,http://www.gatorzone.com/football/bios.php?year=2012&player_id=258,QB,"6' 2""",206,RSO,SQ,"Wethersfield, CONN",Wethersfield,CONN,Wethersfield,,,,University of Florida,2012-2013
73,Xavier Nixon,http://www.gatorzone.com/football/bios.php?year=2012&player_id=213,OL,"6' 6""",314,SR,3L,"Fayetteville, NC",Fayetteville,NC,Jack Britt,,,,University of Florida,2012-2013
91,Earl Okine,http://www.gatorzone.com/football/bios.php?year=2012&player_id=175,DL,"6' 7""",287,RSR,2L,"Gainesville, FL",Gainesville,FL,Gainesville,,,,University of Florida,2012-2013
44,Leon Orr,http://www.gatorzone.com/football/bios.php?year=2012&player_id=240,DL,"6' 5""",305,RSO,1L,"New Port Richey, FL",New Port Richey,FL,Gulf,,,,University of Florida,2012-2013
48,Wes Owings,http://www.gatorzone.com/football/bios.php?year=2012&player_id=347,LB,"6' 3""",210,FR,HS,"Jacksonville, FL",Jacksonville,FL,Trinity Christian,,,,University of Florida,2012-2013
15,Ryan Parrish,http://www.gatorzone.com/football/bios.php?year=2012&player_id=280,WR,"6' 2""",209,JR,SQ,"Lakeland, FL",Lakeland,FL,Lakeland Christian,,,,University of Florida,2012-2013
71,Matt Patchan,http://www.gatorzone.com/football/bios.php?year=2012&player_id=176,OL,"6' 6""",304,RJR,3L,"Tampa, FL",Tampa,FL,Armwood,,,,University of Florida,2012-2013
83,Solomon Patton,http://www.gatorzone.com/football/bios.php?year=2012&player_id=241,WR,"5' 9""",169,JR,2L,"Mobile, ALA",Mobile,ALA,Murphy,,,,University of Florida,2012-2013
