,year,profootball_ref_team_year_url,team_id,year,team
216,1954,http://www.pro-football-reference.com/teams/cle/1954.htm,cle,1954,Cleveland Browns
217,1954,http://www.pro-football-reference.com/teams/clt/1954.htm,clt,1954,Baltimore Colts
218,1954,http://www.pro-football-reference.com/teams/crd/1954.htm,crd,1954,Chicago Cardinals
219,1954,http://www.pro-football-reference.com/teams/det/1954.htm,det,1954,Detroit Lions
220,1954,http://www.pro-football-reference.com/teams/gnb/1954.htm,gnb,1954,Green Bay Packers
221,1954,http://www.pro-football-reference.com/teams/nyg/1954.htm,nyg,1954,New York Giants
222,1954,http://www.pro-football-reference.com/teams/phi/1954.htm,phi,1954,Philadelphia Eagles
223,1954,http://www.pro-football-reference.com/teams/pit/1954.htm,pit,1954,Pittsburgh Steelers
224,1954,http://www.pro-football-reference.com/teams/ram/1954.htm,ram,1954,Los Angeles Rams
225,1954,http://www.pro-football-reference.com/teams/sfo/1954.htm,sfo,1954,San Francisco 49ers
226,1954,http://www.pro-football-reference.com/teams/was/1954.htm,was,1954,Washington Redskins
227,1955,http://www.pro-football-reference.com/teams/chi/1955.htm,chi,1955,Chicago Bears
228,1955,http://www.pro-football-reference.com/teams/cle/1955.htm,cle,1955,Cleveland Browns
229,1955,http://www.pro-football-reference.com/teams/clt/1955.htm,clt,1955,Baltimore Colts
230,1955,http://www.pro-football-reference.com/teams/crd/1955.htm,crd,1955,Chicago Cardinals
231,1955,http://www.pro-football-reference.com/teams/det/1955.htm,det,1955,Detroit Lions
232,1955,http://www.pro-football-reference.com/teams/gnb/1955.htm,gnb,1955,Green Bay Packers
233,1955,http://www.pro-football-reference.com/teams/nyg/1955.htm,nyg,1955,New York Giants
234,1955,http://www.pro-football-reference.com/teams/phi/1955.htm,phi,1955,Philadelphia Eagles
235,1955,http://www.pro-football-reference.com/teams/pit/1955.htm,pit,1955,Pittsburgh Steelers
236,1955,http://www.pro-football-reference.com/teams/ram/1955.htm,ram,1955,Los Angeles Rams
237,1955,http://www.pro-football-reference.com/teams/sfo/1955.htm,sfo,1955,San Francisco 49ers
238,1955,http://www.pro-football-reference.com/teams/was/1955.htm,was,1955,Washington Redskins
239,1956,http://www.pro-football-reference.com/teams/chi/1956.htm,chi,1956,Chicago Bears
240,1956,http://www.pro-football-reference.com/teams/cle/1956.htm,cle,1956,Cleveland Browns
241,1956,http://www.pro-football-reference.com/teams/clt/1956.htm,clt,1956,Baltimore Colts
242,1956,http://www.pro-football-reference.com/teams/crd/1956.htm,crd,1956,Chicago Cardinals
243,1956,http://www.pro-football-reference.com/teams/det/1956.htm,det,1956,Detroit Lions
244,1956,http://www.pro-football-reference.com/teams/gnb/1956.htm,gnb,1956,Green Bay Packers
245,1956,http://www.pro-football-reference.com/teams/nyg/1956.htm,nyg,1956,New York Giants
246,1956,http://www.pro-football-reference.com/teams/phi/1956.htm,phi,1956,Philadelphia Eagles
247,1956,http://www.pro-football-reference.com/teams/pit/1956.htm,pit,1956,Pittsburgh Steelers
248,1956,http://www.pro-football-reference.com/teams/ram/1956.htm,ram,1956,Los Angeles Rams
249,1956,http://www.pro-football-reference.com/teams/sfo/1956.htm,sfo,1956,San Francisco 49ers
250,1956,http://www.pro-football-reference.com/teams/was/1956.htm,was,1956,Washington Redskins
251,1957,http://www.pro-football-reference.com/teams/chi/1957.htm,chi,1957,Chicago Bears
252,1957,http://www.pro-football-reference.com/teams/cle/1957.htm,cle,1957,Cleveland Browns
253,1957,http://www.pro-football-reference.com/teams/clt/1957.htm,clt,1957,Baltimore Colts
254,1957,http://www.pro-football-reference.com/teams/crd/1957.htm,crd,1957,Chicago Cardinals
255,1957,http://www.pro-football-reference.com/teams/det/1957.htm,det,1957,Detroit Lions
256,1957,http://www.pro-football-reference.com/teams/gnb/1957.htm,gnb,1957,Green Bay Packers
257,1957,http://www.pro-football-reference.com/teams/nyg/1957.htm,nyg,1957,New York Giants
258,1957,http://www.pro-football-reference.com/teams/phi/1957.htm,phi,1957,Philadelphia Eagles
259,1957,http://www.pro-football-reference.com/teams/pit/1957.htm,pit,1957,Pittsburgh Steelers
260,1957,http://www.pro-football-reference.com/teams/ram/1957.htm,ram,1957,Los Angeles Rams
261,1957,http://www.pro-football-reference.com/teams/sfo/1957.htm,sfo,1957,San Francisco 49ers
262,1957,http://www.pro-football-reference.com/teams/was/1957.htm,was,1957,Washington Redskins
263,1958,http://www.pro-football-reference.com/teams/chi/1958.htm,chi,1958,Chicago Bears
264,1958,http://www.pro-football-reference.com/teams/cle/1958.htm,cle,1958,Cleveland Browns
265,1958,http://www.pro-football-reference.com/teams/clt/1958.htm,clt,1958,Baltimore Colts
