ID_Sport,ID_School,Season,Player,First_Name,Last_Name,Height,Weight,Year,Hometown/Prior_School,Player_URL
MTEN,ND,2011-2012,Niall Fitzgerald,Niall,Fitzgerald,5/11/13,155,SR,"Wicklow, Ireland/Blackrock College",http://www.und.com/sports/m-tennis/mtt/fitzgerald_niall00.html
MTEN,ND,2011-2012,Michael Fredericka,Michael,Fredericka,6/1/13,155,FR,"Warren, OH/John F. Kennedy",http://www.und.com/sports/m-tennis/mtt/fredericka_michael00.html
MTEN,ND,2011-2012,Sam Keeton,Sam,Keeton,6/2/13,155,SR,"Kansas City, MO/Pembroke Hill",http://www.und.com/sports/m-tennis/mtt/keeton_sam00.html
MTEN,ND,2011-2012,Wyatt McCoy,Wyatt,McCoy,5/9/13,140,FR,"Shoreview, MN/Mounds View",http://www.und.com/sports/m-tennis/mtt/mccoy_wyatt00.html
MTEN,ND,2011-2012,Michael Moore,Michael,Moore,6/2/13,180,JR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-tennis/mtt/moore_michael00.html
MTEN,ND,2011-2012,Blas Moros,Blas,Moros,6/1/00,178,JR,"Boca Raton, FL/Pine Crest",http://www.und.com/sports/m-tennis/mtt/moros_blas00.html
MTEN,ND,2011-2012,Billy Pecor,Billy,Pecor,6/2/13,185,SO,"Scottsdale, AZ/Chaparral",http://www.und.com/sports/m-tennis/mtt/pecor_billy00.html
MTEN,ND,2011-2012,Spencer Talmadge,Spencer,Talmadge,6/2/13,230,JR,"Hillsborough, CA/Junipero Serra",http://www.und.com/sports/m-tennis/mtt/talmadge_spencer00.html
MTEN,ND,2011-2012,Casey Watt,Casey,Watt,6/1/00,165,SR,"Gibsonia, PA/Pine-Richland",http://www.und.com/sports/m-tennis/mtt/watt_casey00.html
MTEN,ND,2012-2013,Greg Andrews,Greg,Andrews,5/11/13,165,JR,"Richland, MI/Gull Lake",http://www.und.com/sports/m-tennis/mtt/greg_andrews_718519.html
MTEN,ND,2012-2013,Ryan Bandy,Ryan,Bandy,6/1/13,170,JR,"Cincinnati, OH/St. Xavier",http://www.und.com/sports/m-tennis/mtt/ryan_bandy_718520.html
MTEN,ND,2012-2013,Dougie Barnard,Dougie,Barnard,5/10/13,150,SO,"Indianapolis, IN/Brebeuf Jesuit",http://www.und.com/sports/m-tennis/mtt/dougie_barnard_787127.html
MTEN,ND,2012-2013,Matt Dooley,Matt,Dooley,5/10/13,155,JR,"New Braunfels, TX/New Braunfels",http://www.und.com/sports/m-tennis/mtt/matt_dooley_718521.html
MTEN,ND,2012-2013,Michael Fredericka,Michael,Fredericka,6/1/13,155,SO,"Warren, OH/John F. Kennedy",http://www.und.com/sports/m-tennis/mtt/michael_fredericka_771474.html
MTEN,ND,2012-2013,Alex Lawson,Alex,Lawson,6/3/13,165,FR,"Tempe, AZ/Corona Del Sol",http://www.und.com/sports/m-tennis/mtt/alex_lawson_810337.html
MTEN,ND,2012-2013,Wyatt McCoy,Wyatt,McCoy,5/9/13,140,SO,"Shoreview, MN/Mounds View",http://www.und.com/sports/m-tennis/mtt/wyatt_mccoy_771472.html
MTEN,ND,2012-2013,Quentin Monaghan,Quentin,Monaghan,6/1/00,142,FR,"Chatham, NJ/Chatham",http://www.und.com/sports/m-tennis/mtt/quentin_monaghan_810338.html
MTEN,ND,2012-2013,Nicolas Montoya,Nicolas,Montoya,5/9/13,150,FR,"Scottsdale, AZ/Horizon",http://www.und.com/sports/m-tennis/mtt/nicolas_montoya_810339.html
MTEN,ND,2012-2013,Michael Moore,Michael,Moore,6/2/13,180,SR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-tennis/mtt/michael_moore_477855.html
MTEN,ND,2012-2013,Blas Moros,Blas,Moros,6/1/00,178,SR,"Boca Raton, FL/Pine Crest",http://www.und.com/sports/m-tennis/mtt/blas_moros_477853.html
MTEN,ND,2012-2013,Billy Pecor,Billy,Pecor,6/2/13,185,JR,"Houston, Texas/Chaparral (AZ)",http://www.und.com/sports/m-tennis/mtt/billy_pecor_718523.html
MTEN,ND,2012-2013,Kenneth Sabacinski,Kenneth,Sabacinski,5/8/13,140,FR,"Plantation, FL/American Heritage",http://www.und.com/sports/m-tennis/mtt/kenneth_sabacinski_810340.html
MTEN,ND,2012-2013,Eric Schnurrenberger,Eric,Schnurrenberger,5/9/13,176,FR,"Zug, Switzerland/Kantonsschule Alpenquai Lucerne",http://www.und.com/sports/m-tennis/mtt/eric_schnurrenberger_810341.html
MTEN,ND,2012-2013,Spencer Talmadge,Spencer,Talmadge,6/2/13,230,SR,"Hillsborough, CA/Junipero Serra",http://www.und.com/sports/m-tennis/mtt/spencer_talmadge_477856.html
