ID_School,ID_Sport,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL,Major,Concentration
CLEM,MBBALL,2007-2008,22,Terrence Oglesby,Terrence,Oglesby,G,41427,185,FR,"Cleveland, TN",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/oglesby_terrence00.html,Communication Studies,
CLEM,MBBALL,2007-2008,32,Sam Perry,Sam,Perry,F,41430,215,SR,"Greenville, SC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/perry_sam00.html,Sociology,
CLEM,MBBALL,2007-2008,55,Karolis Petrukonis,Karolis,Petrukonis,C,41436,260,SO,"Trakai, Lithuania",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/petrukonis_karolis00.html,Language & International Trade,
CLEM,MBBALL,2007-2008,15,David Potter,David,Potter,G/F,41431,205,SO,"Severn, MD",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/potter_david00.html,Pre-Business,
CLEM,MBBALL,2007-2008,1,K.C. Rivers,K.C.,Rivers,G/F,41430,215,JR,"Charlotte, NC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/rivers_kc00.html,Sociology,
CLEM,MBBALL,2007-2008,2,Demontez Stitt,Demontez,Stitt,G,41427,170,FR,"Matthews, NC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/stitt_demontez00.html,"Parks, Recreation & Tourism Management",
CLEM,MBBALL,2007-2008,12,Raymond Sykes,Raymond,Sykes,C/F,41434,220,JR,"Jacksonville, FL",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/sykes_raymond00.html,Sociology,
CLEM,MBBALL,2007-2008,44,Jesse Yanutola,Jesse,Yanutola,F,41429,215,SR,"Tega Cay, SC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/yanutola_jesse00.html,Computer Engineering,
CLEM,MBBALL,2006-2007,35,Trevor Booker,Trevor,Booker,F,41432,215,FR,"Whitmire, SC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/booker_trevor00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2006-2007,3,Vernon Hamilton,Vernon,Hamilton,G,36678,195,SR,"Richmond, VA",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hamilton_vernon00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2006-2007,25,Cliff Hammonds,Cliff,Hammonds,G,41428,197,JR,"Cairo, GA",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hammonds_cliff00.html,Architecture,
CLEM,MBBALL,2006-2007,40,James Mays,James,Mays,F/C,41434,225,JR,"Garner, NC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/mays_james00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2006-2007,24,Matt Morris,Matt,Morris,F,41430,207,JR,"Georgetown, SC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/morris_matt00.html,Marketing,
CLEM,MBBALL,2006-2007,32,Sam Perry,Sam,Perry,F,41430,208,JR,"Greenville, SC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/perry_sam00.html,Sociology,
CLEM,MBBALL,2006-2007,55,Karolis Petrukonis,Karolis,Petrukonis,C,41436,260,FR,"Trakai, Lithuania",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/petrukonis_karolis00.html,Language & International Trade,
CLEM,MBBALL,2006-2007,5,Chris Poole,Chris,Poole,G,41403,160,SR,"Raleigh, NC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/poole_chris00.html,Management,
CLEM,MBBALL,2006-2007,15,David Potter,David,Potter,G/F,41431,180,FR,"Severn, MD",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/potter_david00.html,Pre-Business,
CLEM,MBBALL,2006-2007,42,Julius Powell,Julius,Powell,F,41432,208,SO,"Newton, NC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/powell_julius00.html,"Parks, Recreation & Tourism Management  ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2006-2007,0,Travis Price,Travis,Price,F,41434,220,JR,"Sumter, SC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/price_travis00.html,Economics,
