ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
USC,MBBALL,2007-2008,33,RouSean Cromwell,Cromwell,RouSean,Forward,6/11/13,225,JR,"Memphis, Tenn. (IMG Academy-Fla.)",http://www.usctrojans.com/sports/m-baskbl/mtt/cromwell_rousean00.html,
USC,MBBALL,2007-2008,43,Kasey Cunningham,Cunningham,Kasey,Forward,6/7/13,225,RS FR,"Albuquerque, N.M. (Cibola High)",http://www.usctrojans.com/sports/m-baskbl/mtt/cunningham_kasey00.html,
USC,MBBALL,2007-2008,14,Mamadou Diarra,Diarra,Mamadou,Forward,7/1/00,230,FR,"Bamako, Mali (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/diarra_mamadou00.html,
USC,MBBALL,2007-2008,3,James Dunleavy,Dunleavy,James,Guard,6/6/13,190,FR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/dunleavy_james00.html,
USC,MBBALL,2007-2008,22,Taj Gibson,Gibson,Taj,Forward,6/9/13,225,SO,"Brooklyn, N.Y. (Calvary Christian High)",http://www.usctrojans.com/sports/m-baskbl/mtt/gibson_taj00.html,
USC,MBBALL,2007-2008,30,Terence Green,Green,Terence,Guard,5/11/13,180,JR,"Aliso Viejo, Calif. (Aliso Niguel)",http://www.usctrojans.com/sports/m-baskbl/mtt/green_terence00.html,
USC,MBBALL,2007-2008,13,Daniel Hackett,Hackett,Daniel,Guard,6/5/13,205,SO,"Pesaro, Italy (St. John Bosco (CA))",http://www.usctrojans.com/sports/m-baskbl/mtt/hackett_daniel00.html,
USC,MBBALL,2007-2008,5,Davon Jefferson,Jefferson,Davon,Forward,6/8/13,215,FR,"Lynwood, Calif. (Lynwood High)",http://www.usctrojans.com/sports/m-baskbl/mtt/jefferson_davon00.html,
USC,MBBALL,2007-2008,1,Angelo Johnson,Johnson,Angelo,Guard,5/11/13,180,FR,"Minneapolis, Minn. (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/johnson_angelo00.html,
USC,MBBALL,2007-2008,21,Dwight Lewis,Lewis,Dwight,Guard,6/5/13,215,SO,"Metairie, La. (Taylor High (TX))",http://www.usctrojans.com/sports/m-baskbl/mtt/lewis_dwight00.html,
USC,MBBALL,2007-2008,32,O.J. Mayo,Mayo,O.J.,Guard,6/5/13,200,FR,Huntington WV (Huntington High),http://www.usctrojans.com/sports/m-baskbl/mtt/mayo_o.j.00.html,
USC,MBBALL,2007-2008,20,Marcus Simmons,Simmons,Marcus,Guard,6/6/13,200,FR,"Alexandria, La. (Peabody High)",http://www.usctrojans.com/sports/m-baskbl/mtt/simmons_marcus00.html,
USC,MBBALL,2007-2008,2,Ryan Wetherell,Wetherell,Ryan,Guard,5/11/13,175,SO,"Calgary, Alberta, CN (Sr. Winston Churchill)",http://www.usctrojans.com/sports/m-baskbl/mtt/wetherell_ryan00.html,
USC,MBBALL,2007-2008,23,Keith Wilkinson,Wilkinson,Keith,Forward,6/10/13,225,JR,"Mission Viejo, Calif. (Capistrano Valley)",http://www.usctrojans.com/sports/m-baskbl/mtt/wilkinson_keith00.html,
USC,MBBALL,2006-2007,20,Kyle Austin,Austin,Kyle,Forward,6/7/13,195,FR,"Pasadena, Calif. (Pasadena High)",http://www.usctrojans.com/sports/m-baskbl/mtt/austin_kyle00.html,
USC,MBBALL,2006-2007,42,RouSean Cromwell,Cromwell,RouSean,Forward,6/11/13,217,SO,"Memphis, Tenn. (IMG Academy-Fla.)",http://www.usctrojans.com/sports/m-baskbl/mtt/cromwell_rousean00.html,
USC,MBBALL,2006-2007,43,Kasey Cunningham,Cunningham,Kasey,Forward,6/7/13,220,FR,"Albuquerque, N.M. (Cibola High)",http://www.usctrojans.com/sports/m-baskbl/mtt/cunningham_kasey00.html,
USC,MBBALL,2006-2007,44,Reed Doucette,Doucette,Reed,Forward,6/6/13,215,SR,"Lodi, CA (Lodi)",http://www.usctrojans.com/sports/m-baskbl/mtt/doucette_reed00.html,
USC,MBBALL,2006-2007,22,Taj Gibson,Gibson,Taj,Forward,6/9/13,210,FR,"Brooklyn, N.Y. (Calvary Christian High)",http://www.usctrojans.com/sports/m-baskbl/mtt/gibson_taj00.html,
USC,MBBALL,2006-2007,30,Terence Green,Green,Terence,Guard,5/10/13,176,SO,"Aliso Viejo, Calif. (Aliso Niguel)",http://www.usctrojans.com/sports/m-baskbl/mtt/green_terence00.html,
USC,MBBALL,2006-2007,13,Daniel Hackett,Hackett,Daniel,Guard,6/5/13,205,FR,"Downey, Calif. (St. John Bosco)",http://www.usctrojans.com/sports/m-baskbl/mtt/hackett_daniel00.html,
USC,MBBALL,2006-2007,15,Dwight Lewis,Lewis,Dwight,Guard,6/5/13,200,FR,"Metairie, La. (Taylor High (TX))",http://www.usctrojans.com/sports/m-baskbl/mtt/lewis_dwight00.html,
USC,MBBALL,2006-2007,21,Abdoulaye N'diaye,N'diaye,Abdoulaye,Center,6/11/13,220,SR,"Dakar, Senegal",http://www.usctrojans.com/sports/m-baskbl/mtt/n'diaye_abdoulaye00.html,
USC,MBBALL,2006-2007,10,Chris Penrose,Penrose,Chris,Guard,6/1/00,172,SR,San Diego (Francis Parker HS),http://www.usctrojans.com/sports/m-baskbl/mtt/penrose_chris00.html,
USC,MBBALL,2006-2007,34,Gabe Pruitt,Pruitt,Gabe,Guard,6/4/13,170,JR,"Los Angeles, Calif. (Westchester HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/pruitt_gabe00.html,
USC,MBBALL,2006-2007,3,Lodrick Stewart,Stewart,Lodrick,Guard,6/4/13,210,SR,"Seattle, Wash. (Rainier Beach)",http://www.usctrojans.com/sports/m-baskbl/mtt/stewart_lodrick00.html,
