Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2005.idx_gr:vl-unitid of parent institution reporting graduation rates
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,6,1,5,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,3,3,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,9,0,9,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,1,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,1,5,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,34,7,27,29,6,23,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,2,4,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,4,3,3,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
