Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,12,12,0,11,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,4,3,1,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,12,4,8,3,0,3,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,6,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,27,5,22,24,3,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,7,0,7,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,15,6,9,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,10,3,7,5,1,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,6,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,11,11,0,6,6,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,11,3,8,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,1,4,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,5,5,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,41,11,30,34,10,24,2,0,2,1,0,1,1,0,1,0,0,0,1,0,1,2,1,1
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,4,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,16,16,0,8,8,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,38,10,28,32,9,23,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,8,8,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
