year,team,rank,value,value_change,revenue,expense,operating_income,debt_value,debt_percent,revenue_multiple,ebitda_multiple,league
2006,FC Porto,25,106.00,-42.00,93.00,68.70,24.30,62.54,0.59,1.14,4.36,UEFA
2005,Manchester United,1,1251.00,0.05,315.00,209.30,105.70,0.00,0.00,3.97,11.84,UEFA
2005,Real Madrid,2,920.00,0.23,287.00,260.70,26.30,0.00,0.00,3.21,34.98,UEFA
2005,AC Milan,3,893.00,0.18,270.00,278.00,-8.00,62.51,0.07,3.31,0.00,UEFA
2005,Juventus,4,837.00,0.01,262.00,238.40,23.60,25.11,0.03,3.19,35.47,UEFA
2005,Bayern Munich,5,627.00,0.02,202.00,154.00,48.00,0.00,0.00,3.10,13.06,UEFA
2005,Arsenal,6,613.00,0.27,211.00,169.20,41.80,79.69,0.13,2.91,14.67,UEFA
2005,Internazionale Milan,7,608.00,0.09,203.00,196.80,6.20,115.52,0.19,3.00,98.06,UEFA
2005,Chelsea,8,449.00,0.32,264.00,271.20,-7.20,134.70,0.30,1.70,0.00,UEFA
2005,Liverpool,9,441.00,-0.01,170.00,113.00,57.00,17.64,0.04,2.59,7.74,UEFA
2005,Newcastle United,10,391.00,-2.00,166.00,129.00,37.00,93.84,0.24,2.36,10.57,UEFA
2005,Barcelona,11,389.00,13.00,206.00,198.90,7.10,155.60,0.40,1.89,54.79,UEFA
2005,Olympique Marseille,12,305.00,0.00,107.00,92.00,15.00,0.00,0.00,2.85,20.33,UEFA
2005,Tottenham Hotspur,13,298.00,9.00,122.00,104.40,17.60,14.90,0.05,2.44,16.93,UEFA
2005,Schalke 04,14,295.00,-13.00,111.00,84.80,26.20,2.95,0.01,2.66,11.26,UEFA
2005,Celtic,15,273.00,36.00,127.00,118.20,8.80,30.03,0.11,2.15,31.02,UEFA
2005,Manchester City,16,262.00,0.00,114.00,106.70,7.30,60.26,0.23,2.30,35.89,UEFA
2005,AS Roma,17,252.00,-17.00,132.00,156.70,-24.70,80.64,0.32,1.91,0.00,UEFA
2005,Aston Villa,18,236.00,0.00,103.00,96.50,6.50,0.00,0.00,2.29,36.31,UEFA
2005,Glasgow Rangers,19,225.00,36.00,105.00,90.10,14.90,90.00,0.40,2.14,15.10,UEFA
2005,SS Lazio,20,224.00,14.00,121.00,221.90,-100.90,127.68,0.57,1.85,0.00,UEFA
2005,Olympique Lyonnais,21,209.00,38.00,139.00,132.70,6.30,209.00,1.00,1.50,33.17,UEFA
2005,Borussia Dortmund,22,197.00,-45.00,119.00,159.30,-40.30,35.46,0.18,1.66,0.00,UEFA
2005,FC Porto,23,182.00,0.00,140.00,154.50,-14.50,5.46,0.03,1.30,0.00,UEFA
2005,Leeds United,24,135.00,-8.00,85.00,133.20,-48.20,44.55,0.33,1.59,0.00,UEFA
2005,Ajax Amsterdam,25,126.00,0.00,78.00,71.90,6.10,31.50,0.25,1.62,20.66,UEFA
2004,Manchester United,1,1186.00,NA,289.00,198.00,91.00,0.00,0.00,4.10,13.03,UEFA
2004,Juventus,2,828.00,NA,251.00,227.00,24.00,0.00,0.00,3.30,34.50,UEFA
2004,AC Milan,3,759.00,NA,230.00,239.00,-9.00,NA,NA,3.30,0.00,UEFA
2004,Real Madrid,4,751.00,NA,221.00,199.00,22.00,0.00,0.00,3.40,34.14,UEFA
