"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","two_point_conversions","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"95",83,2010,8,"2010-11-07","29-135","HOU","","SDG","L 23-29","*",21,32,0.396,267,0,1,78.5,8.34,6.94,2,1,0.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","23-29",23,29
"96",84,2010,9,"2010-11-14","29-142","HOU","@","JAX","L 24-31","*",22,32,0.407,314,2,0,121.1,9.81,11.06,3,14,4.67,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","24-31",24,31
"97",85,2010,10,"2010-11-21","29-149","HOU","@","NYJ","L 27-30","*",19,33,0.365,254,1,0,92.2,7.7,8.3,1,3,3,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","27-30",27,30
"98",86,2010,11,"2010-11-28","29-156","HOU","","TEN","W 20-0","*",25,35,0.417,178,2,0,101.8,5.09,6.23,2,-2,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","20-0",20,0
"99",87,2010,12,"2010-12-02","29-160","HOU","@","PHI","L 24-34","*",22,36,0.379,337,2,1,99,9.36,9.22,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","24-34",24,34
"100",88,2010,13,"2010-12-13","29-171","HOU","","BAL","L 28-34","*",31,62,0.333,393,3,2,72.8,6.34,5.85,1,8,8,0,0,0,NA,0,0,1,2,"Matt Schaub",TRUE,"L","28-34",28,34
"101",89,2010,14,"2010-12-19","29-177","HOU","@","TEN","L 17-31","*",35,54,0.393,325,2,1,85.8,6.02,5.93,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-31",17,31
"102",90,2010,15,"2010-12-26","29-184","HOU","@","DEN","L 23-24","*",23,33,0.411,310,1,1,96.8,9.39,8.64,1,0,0,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","23-24",23,24
"103",91,2010,16,"2011-01-02","29-191","HOU","","JAX","W 34-17","*",18,22,0.45,253,1,0,129.7,11.5,12.41,2,1,0.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-17",34,17
"106",92,2011,1,"2011-09-11","30-078","HOU","","IND","W 34-7","*",17,24,0.415,220,1,2,78.5,9.17,6.25,4,0,0,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-7",34,7
