id,url,model,year,type,photo,total.year.photo
150,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/6/7,lujan_fernandez,2001,model,6,7
151,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/7/7,lujan_fernandez,2001,model,7,7
152,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/1/7,michelle_behennah,2001,model,1,7
153,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/2/7,michelle_behennah,2001,model,2,7
154,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/3/7,michelle_behennah,2001,model,3,7
155,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/4/7,michelle_behennah,2001,model,4,7
156,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/5/7,michelle_behennah,2001,model,5,7
157,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/6/7,michelle_behennah,2001,model,6,7
158,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/7/7,michelle_behennah,2001,model,7,7
159,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/1/7,molly_sims,2001,model,1,7
160,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/2/7,molly_sims,2001,model,2,7
161,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/3/7,molly_sims,2001,model,3,7
162,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/4/7,molly_sims,2001,model,4,7
163,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/5/7,molly_sims,2001,model,5,7
164,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/6/7,molly_sims,2001,model,6,7
165,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/7/7,molly_sims,2001,model,7,7
166,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/1/7,shakara_ledard,2001,model,1,7
167,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/2/7,shakara_ledard,2001,model,2,7
168,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/3/7,shakara_ledard,2001,model,3,7
169,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/4/7,shakara_ledard,2001,model,4,7
170,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/5/7,shakara_ledard,2001,model,5,7
171,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/6/7,shakara_ledard,2001,model,6,7
172,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/7/7,shakara_ledard,2001,model,7,7
173,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/1/7,shirley_mallmann,2001,model,1,7
174,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/2/7,shirley_mallmann,2001,model,2,7
175,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/3/7,shirley_mallmann,2001,model,3,7
176,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/4/7,shirley_mallmann,2001,model,4,7
177,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/5/7,shirley_mallmann,2001,model,5,7
178,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/6/7,shirley_mallmann,2001,model,6,7
179,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/7/7,shirley_mallmann,2001,model,7,7
180,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/1/7,veronica_varekova,2001,model,1,7
181,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/2/7,veronica_varekova,2001,model,2,7
182,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/3/7,veronica_varekova,2001,model,3,7
183,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/4/7,veronica_varekova,2001,model,4,7
184,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/5/7,veronica_varekova,2001,model,5,7
185,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/6/7,veronica_varekova,2001,model,6,7
186,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/7/7,veronica_varekova,2001,model,7,7
187,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/1/7,yamila_diaz-rahi,2001,model,1,7
188,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/2/7,yamila_diaz-rahi,2001,model,2,7
189,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/3/7,yamila_diaz-rahi,2001,model,3,7
190,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/4/7,yamila_diaz-rahi,2001,model,4,7
191,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/5/7,yamila_diaz-rahi,2001,model,5,7
192,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/6/7,yamila_diaz-rahi,2001,model,6,7
193,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/7/7,yamila_diaz-rahi,2001,model,7,7
194,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/ana_beatriz_barros/2002/model/1/8,ana_beatriz_barros,2002,model,1,8
195,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/ana_beatriz_barros/2002/model/2/8,ana_beatriz_barros,2002,model,2,8
