Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
34,Lane Roseberry,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680077&Q_SEASON=2012,RB,6/1/13,230,Fr.,"Bly, Ore. ",Bly,ORE,Lakeview High School,,University of Oregon,2012-2013,,,
35,Anthony Wallace,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238573&Q_SEASON=2012,LB,6/1/00,235,So.,"Dallas , Texas ",Dallas ,TX,Skyline High School,,University of Oregon,2012-2013,,,
36,Carlyle Garrick,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238226&Q_SEASON=2012,LB,6/2/13,221,RFr.,"Castro Valley, Calif. ",Castro Valley,CA,Castro Valley High School,,University of Oregon,2012-2013,,,
36,Jennings Stewart,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1552629&Q_SEASON=2012,TE,6/3/13,225,Sr.,"Grants Pass, Ore. ",Grants Pass,ORE,Grants Pass High School,,University of Oregon,2012-2013,,,
37,Michael Manns,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680167&Q_SEASON=2012,DB,5/11/13,165,Fr.,"Molalla, OR ",Molalla,OR,Molalla High School,,University of Oregon,2012-2013,,,
37,Jordan Thompson,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204830581&Q_SEASON=2012,RB,5/8/13,175,Jr.,"Valencia, Calif. ",Valencia,CA,Valencia High School,,University of Oregon,2012-2013,,,
38,Bill Chimphalee,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680074&Q_SEASON=2012,RB,6/1/00,210,Jr.,"Kenai, Alaska ",Kenai,AK,Kenai Central High School,Orange Coast Community College,University of Oregon,2012-2013,,,
38,Mike Garrity,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978496&Q_SEASON=2012,LB,6/1/13,226,So.,"San Carlos, Calif. ",San Carlos,CA,Archbishop Riordan,,University of Oregon,2012-2013,,,
39,Drew Howell,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971089&Q_SEASON=2012,LS,6/2/13,220,Jr.,"Tehachapi, Calif. ",Tehachapi,CA,Tehachapi High School,,University of Oregon,2012-2013,,,
39,Jimmy Musgrave,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205312792&Q_SEASON=2012,TE,6/1/00,220,RFr.,"Victorville, Calif. ",Victorville,CA,Silverado High School,,University of Oregon,2012-2013,,,
40,Brett Bafaro,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205503986&Q_SEASON=2012,LB,6/2/13,225,Fr.,"Hillsboro, Ore. ",Hillsboro,ORE,Liberty High School,,University of Oregon,2012-2013,,,
41,Alejandro Maldonado,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971246&Q_SEASON=2012,PK,5/10/13,185,Jr.,"Colton, Calif. ",Colton,CA,Colton High School,,University of Oregon,2012-2013,,,
41,Blake Stanton,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978724&Q_SEASON=2012,WR,5/11/13,211,So.,"Los Angeles, Calif. ",Los Angeles,CA,Crespi High School,,University of Oregon,2012-2013,,,
42,Cody Carriger,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205503987&Q_SEASON=2012,DL,6/6/13,235,Fr.,"Butte, Mont. ",Butte,MONT,Butte High School,,University of Oregon,2012-2013,,,
43,Keloni Kamalani,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773871&Q_SEASON=2012,LB,5/11/13,215,Jr.,"Kihei, Hawaii ",Kihei,HAWAII,Kamehameha Maui High School,,University of Oregon,2012-2013,,,
44,DeForest Buckner,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504144&Q_SEASON=2012,DL,6/7/13,265,Fr.,"Honolulu, Hawaii ",Honolulu,HAWAII,Punahou High School,,University of Oregon,2012-2013,,,
45,Austin Daich,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205718424&Q_SEASON=2012,DB,6/3/13,185,Fr.,"Aptos, Calif. ",Aptos,CA,Monte Vista Christian High School,,University of Oregon,2012-2013,,,
45,T.J. Daniel,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504146&Q_SEASON=2012,TE,6/6/13,249,Fr.,"Oakland, Calif. ",Oakland,CA,Bishop O_Dowd High School,,University of Oregon,2012-2013,,,
46,Michael Clay,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773762&Q_SEASON=2012,LB,5/11/13,222,Sr.,"San Jose, Calif. ",San Jose,CA,Bellarmine College Prep,,University of Oregon,2012-2013,,,
47,Kiko Alonso,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204991317&Q_SEASON=2012,LB,6/4/13,242,Sr.,"Los Gatos, Calif. ",Los Gatos,CA,Los Gatos High School,,University of Oregon,2012-2013,,,
48,Rodney Hardrick,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238228&Q_SEASON=2012,LB,6/1/13,230,So.,"Colton, Calif. ",Colton,CA,Colton High School,,University of Oregon,2012-2013,,,
48,Eric Solis,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978723&Q_SEASON=2012,PK,5/10/13,192,RSo.,"Sherman Oaks, Calif. ",Sherman Oaks,CA,Notre Dame High School,,University of Oregon,2012-2013,,,
49,Jackson Rice,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773841&Q_SEASON=2012,P,6/3/13,218,Sr.,"Moraga, Calif. ",Moraga,CA,Campolindo High School,,University of Oregon,2012-2013,,,
50,Ryan Hagen,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204919922&Q_SEASON=2012,DT,6/3/13,285,Jr.,"Brea, Calif. ",Brea,CA,Troy High School,,University of Oregon,2012-2013,,,
51,Isaac Ava,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978628&Q_SEASON=2012,LB,5/10/13,240,So.,"Ewa Beach, Hawaii ",Ewa Beach,HAWAII,St. Louis High School,,University of Oregon,2012-2013,,,
52,Dawson Housley,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680166&Q_SEASON=2012,LB,6/3/13,200,Fr.,"Eugene, Ore. ",Eugene,ORE,Sheldon High School,,University of Oregon,2012-2013,,,
54,Hamani Stevens,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550466&Q_SEASON=2012,OL,6/3/13,298,So.,"Hemet, Calif. ",Hemet,CA,Hemet High School,,University of Oregon,2012-2013,,,
