,unitid,DOE.Institution_Name,ID_School,ID_Conference,Year,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
1352,228246,Southern Methodist University,SMU,CUSA,2000-2001,Football,Athletes,Scholarship Awards,75,75,0,47,47,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2001Size.csv
1354,228246,Southern Methodist University,SMU,CUSA,2000-2001,All other sports combined,Athletes,Scholarship Awards,135,50,85,105,34,71,2,1,1,5,3,2,2,1,1,1,0,1,0,0,0,20,11,9,2001Size.csv
1526,243744,Stanford University,STAN,PAC12,2000-2001,All other sports combined,Athletes,Scholarship Awards,256,111,145,196,80,116,15,9,6,11,4,7,23,10,13,0,0,0,0,0,0,11,8,3,2001Size.csv
1537,243744,Stanford University,STAN,PAC12,2000-2001,Baseball,Athletes,Scholarship Awards,20,20,0,18,18,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2001Size.csv
1547,243744,Stanford University,STAN,PAC12,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,45,22,23,29,17,12,6,0,6,4,1,3,3,2,1,1,1,0,0,0,0,2,1,1,2001Size.csv
1556,243744,Stanford University,STAN,PAC12,2000-2001,Football,Athletes,Scholarship Awards,82,82,0,42,42,0,36,36,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2001Size.csv
1563,243744,Stanford University,STAN,PAC12,2000-2001,Basketball,Athletes,Scholarship Awards,26,13,13,14,5,9,10,7,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2001Size.csv
1412,228723,Texas A & M University-College Station,TAM,SEC,2000-2001,Baseball,Athletes,Scholarship Awards,42,42,0,39,39,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2001Size.csv
1415,228723,Texas A & M University-College Station,TAM,SEC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,62,33,29,38,19,19,13,7,6,2,1,1,2,0,2,0,0,0,0,0,0,7,6,1,2001Size.csv
1421,228723,Texas A & M University-College Station,TAM,SEC,2000-2001,All other sports combined,Athletes,Scholarship Awards,172,42,130,136,33,103,6,3,3,6,1,5,2,0,2,2,0,2,5,0,5,15,5,10,2001Size.csv
1428,228723,Texas A & M University-College Station,TAM,SEC,2000-2001,Basketball,Athletes,Scholarship Awards,33,15,18,12,4,8,19,9,10,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2001Size.csv
1429,228723,Texas A & M University-College Station,TAM,SEC,2000-2001,Football,Athletes,Scholarship Awards,86,86,0,32,32,0,48,48,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,2001Size.csv
397,139959,University of Georgia,UGA,SEC,2000-2001,Basketball,Athletes,Scholarship Awards,25,10,15,8,1,7,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
406,139959,University of Georgia,UGA,SEC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,57,29,28,25,13,12,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,2001Size.csv
407,139959,University of Georgia,UGA,SEC,2000-2001,Baseball,Athletes,Scholarship Awards,45,45,0,43,43,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
412,139959,University of Georgia,UGA,SEC,2000-2001,All other sports combined,Athletes,Scholarship Awards,127,30,97,110,27,83,4,0,4,4,0,4,3,1,2,0,0,0,0,0,0,6,2,4,2001Size.csv
419,139959,University of Georgia,UGA,SEC,2000-2001,Football,Athletes,Scholarship Awards,83,83,0,25,25,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
731,170976,University of Michigan-Ann Arbor,UM,BIG10,2000-2001,Basketball,Athletes,Scholarship Awards,21,10,11,8,3,5,10,7,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2001Size.csv
733,170976,University of Michigan-Ann Arbor,UM,BIG10,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,54,28,26,36,21,15,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2001Size.csv
735,170976,University of Michigan-Ann Arbor,UM,BIG10,2000-2001,Football,Athletes,Scholarship Awards,91,91,0,48,48,0,32,32,0,0,0,0,0,0,0,2,2,0,6,6,0,3,3,0,2001Size.csv
745,170976,University of Michigan-Ann Arbor,UM,BIG10,2000-2001,Baseball,Athletes,Scholarship Awards,21,21,0,19,19,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2001Size.csv
759,170976,University of Michigan-Ann Arbor,UM,BIG10,2000-2001,All other sports combined,Athletes,Scholarship Awards,240,89,151,191,71,120,7,3,4,10,5,5,4,2,2,1,0,1,9,3,6,18,5,13,2001Size.csv
935,199120,University of North Carolina at Chapel Hill,UNC,ACC,2000-2001,Baseball,Athletes,Scholarship Awards,23,23,0,22,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
938,199120,University of North Carolina at Chapel Hill,UNC,ACC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,47,21,26,30,17,13,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
939,199120,University of North Carolina at Chapel Hill,UNC,ACC,2000-2001,Football,Athletes,Scholarship Awards,83,83,0,23,23,0,59,59,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2001Size.csv
943,199120,University of North Carolina at Chapel Hill,UNC,ACC,2000-2001,Basketball,Athletes,Scholarship Awards,25,12,13,10,6,4,14,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
954,199120,University of North Carolina at Chapel Hill,UNC,ACC,2000-2001,All other sports combined,Athletes,Scholarship Awards,247,108,139,220,97,123,14,6,8,7,3,4,5,2,3,0,0,0,0,0,0,1,0,1,2001Size.csv
345,135726,University of Miami,UOFM,ACC,2000-2001,Football,Athletes,Scholarship Awards,77,77,0,21,21,0,50,50,0,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,2001Size.csv
346,135726,University of Miami,UOFM,ACC,2000-2001,Basketball,Athletes,Scholarship Awards,25,11,14,3,0,3,15,9,6,0,0,0,1,0,1,0,0,0,0,0,0,6,2,4,2001Size.csv
361,135726,University of Miami,UOFM,ACC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,28,10,18,10,6,4,13,1,12,1,0,1,0,0,0,0,0,0,1,1,0,3,2,1,2001Size.csv
380,135726,University of Miami,UOFM,ACC,2000-2001,All other sports combined,Athletes,Scholarship Awards,74,10,64,44,4,40,0,0,0,10,4,6,1,0,1,1,0,1,2,0,2,16,2,14,2001Size.csv
383,135726,University of Miami,UOFM,ACC,2000-2001,Baseball,Athletes,Scholarship Awards,25,25,0,15,15,0,2,2,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,2001Size.csv
173,123961,University of Southern California,USC,PAC12,2000-2001,Basketball,Athletes,Scholarship Awards,28,14,14,8,4,4,15,6,9,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,2001Size.csv
189,123961,University of Southern California,USC,PAC12,2000-2001,Football,Athletes,Scholarship Awards,93,93,0,30,30,0,41,41,0,3,3,0,4,4,0,0,0,0,15,15,0,0,0,0,2001Size.csv
194,123961,University of Southern California,USC,PAC12,2000-2001,All other sports combined,Athletes,Scholarship Awards,143,53,90,70,20,50,2,0,2,2,0,2,6,1,5,0,0,0,21,8,13,42,24,18,2001Size.csv
197,123961,University of Southern California,USC,PAC12,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,36,17,19,6,5,1,16,6,10,1,0,1,0,0,0,0,0,0,8,3,5,5,3,2,2001Size.csv
199,123961,University of Southern California,USC,PAC12,2000-2001,Baseball,Athletes,Scholarship Awards,19,19,0,13,13,0,0,0,0,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0,2001Size.csv
1438,228778,The University of Texas at Austin,UT,BIG12,2000-2001,Basketball,Athletes,Scholarship Awards,30,15,15,11,4,7,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
1445,228778,The University of Texas at Austin,UT,BIG12,2000-2001,Baseball,Athletes,Scholarship Awards,45,45,0,35,35,0,2,2,0,5,5,0,1,1,0,1,1,0,0,0,0,1,1,0,2001Size.csv
1455,228778,The University of Texas at Austin,UT,BIG12,2000-2001,All other sports combined,Athletes,Scholarship Awards,201,60,141,164,50,114,3,1,2,5,0,5,4,1,3,3,1,2,0,0,0,22,7,15,2001Size.csv
1480,228778,The University of Texas at Austin,UT,BIG12,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,72,48,24,35,27,8,29,18,11,3,1,2,1,0,1,0,0,0,0,0,0,4,2,2,2001Size.csv
1482,228778,The University of Texas at Austin,UT,BIG12,2000-2001,Football,Athletes,Scholarship Awards,87,87,0,31,31,0,55,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001Size.csv
1501,230728,Utah State University,UTA.ST,MWC,2000-2001,All other sports combined,Athletes,Scholarship Awards,86,15,71,77,14,63,1,0,1,4,0,4,1,0,1,0,0,0,2,0,2,1,1,0,2001Size.csv
1516,230728,Utah State University,UTA.ST,MWC,2000-2001,Basketball,Athletes,Scholarship Awards,14,14,0,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2001Size.csv
1517,230728,Utah State University,UTA.ST,MWC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,58,29,29,47,23,24,3,3,0,2,1,1,1,1,0,0,0,0,0,0,0,5,1,4,2001Size.csv
1525,230728,Utah State University,UTA.ST,MWC,2000-2001,Football,Athletes,Scholarship Awards,67,67,0,35,35,0,19,19,0,4,4,0,5,5,0,0,0,0,4,4,0,0,0,0,2001Size.csv
1296,221999,Vanderbilt University,VANDY,SEC,2000-2001,Cross-country and/or track,Athletes,Scholarship Awards,22,0,22,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,2001Size.csv
1297,221999,Vanderbilt University,VANDY,SEC,2000-2001,Football,Athletes,Scholarship Awards,85,85,0,58,58,0,26,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2001Size.csv
1315,221999,Vanderbilt University,VANDY,SEC,2000-2001,All other sports combined,Athletes,Scholarship Awards,92,41,51,81,37,44,1,0,1,4,2,2,1,0,1,0,0,0,3,1,2,2,1,1,2001Size.csv
1316,221999,Vanderbilt University,VANDY,SEC,2000-2001,Baseball,Athletes,Scholarship Awards,17,17,0,16,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2001Size.csv
1317,221999,Vanderbilt University,VANDY,SEC,2000-2001,Basketball,Athletes,Scholarship Awards,25,12,13,12,4,8,7,5,2,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2,2001Size.csv
70,100858,Auburn University,AUB,SEC,2001-2002,All other sports combined,Athletes,Scholarship Awards,169,54,115,136,41,95,2,0,2,5,1,4,1,0,1,0,0,0,1,0,1,24,12,12,2002Size.csv
73,100858,Auburn University,AUB,SEC,2001-2002,Football,Athletes,Scholarship Awards,84,84,0,29,29,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
84,100858,Auburn University,AUB,SEC,2001-2002,Baseball,Athletes,Scholarship Awards,26,26,0,24,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
85,100858,Auburn University,AUB,SEC,2001-2002,Basketball,Athletes,Scholarship Awards,33,14,19,4,2,2,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2002Size.csv
87,100858,Auburn University,AUB,SEC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,48,26,22,18,10,8,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,17,10,7,2002Size.csv
25,100751,The University of Alabama,BAMA,SEC,2001-2002,All other sports combined,Athletes,Scholarship Awards,141,36,105,93,13,80,4,0,4,4,2,2,4,1,3,1,0,1,0,0,0,35,20,15,2002Size.csv
34,100751,The University of Alabama,BAMA,SEC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,46,23,23,15,6,9,18,10,8,0,0,0,0,0,0,1,1,0,0,0,0,12,6,6,2002Size.csv
38,100751,The University of Alabama,BAMA,SEC,2001-2002,Football,Athletes,Scholarship Awards,89,89,0,28,28,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
43,100751,The University of Alabama,BAMA,SEC,2001-2002,Baseball,Athletes,Scholarship Awards,39,39,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Size.csv
45,100751,The University of Alabama,BAMA,SEC,2001-2002,Basketball,Athletes,Scholarship Awards,27,12,15,6,1,5,19,10,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2002Size.csv
468,142115,Boise State University,BOS.ST,MWC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,51,25,26,31,13,18,7,5,2,1,0,1,1,0,1,2,0,2,0,0,0,9,7,2,2002Size.csv
473,142115,Boise State University,BOS.ST,MWC,2001-2002,Basketball,Athletes,Scholarship Awards,24,11,13,9,1,8,8,7,1,1,0,1,1,0,1,0,0,0,0,0,0,5,3,2,2002Size.csv
476,142115,Boise State University,BOS.ST,MWC,2001-2002,Football,Athletes,Scholarship Awards,89,89,0,57,57,0,23,23,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,2002Size.csv
482,142115,Boise State University,BOS.ST,MWC,2001-2002,All other sports combined,Athletes,Scholarship Awards,103,37,66,80,28,52,0,0,0,1,1,0,5,1,4,0,0,0,1,1,0,16,6,10,2002Size.csv
1206,217882,Clemson University,CLEM,ACC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,10,3,7,4,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2002Size.csv
1207,217882,Clemson University,CLEM,ACC,2001-2002,Football,Athletes,Scholarship Awards,18,18,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
1213,217882,Clemson University,CLEM,ACC,2001-2002,Baseball,Athletes,Scholarship Awards,21,21,0,20,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
1216,217882,Clemson University,CLEM,ACC,2001-2002,Basketball,Athletes,Scholarship Awards,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Size.csv
1218,217882,Clemson University,CLEM,ACC,2001-2002,All other sports combined,Athletes,Scholarship Awards,36,15,21,31,13,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3,2002Size.csv
893,198419,Duke University,DUKE,ACC,2001-2002,Basketball,Athletes,Scholarship Awards,23,10,13,8,3,5,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
897,198419,Duke University,DUKE,ACC,2001-2002,Football,Athletes,Scholarship Awards,78,78,0,49,49,0,27,27,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2002Size.csv
901,198419,Duke University,DUKE,ACC,2001-2002,All other sports combined,Athletes,Scholarship Awards,185,63,122,140,47,93,3,1,2,8,5,3,6,2,4,0,0,0,10,2,8,18,6,12,2002Size.csv
906,198419,Duke University,DUKE,ACC,2001-2002,Baseball,Athletes,Scholarship Awards,27,27,0,24,24,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2002Size.csv
300,134130,University of Florida,FLA,SEC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,60,34,26,24,16,8,28,14,14,2,2,0,0,0,0,0,0,0,2,1,1,4,1,3,2002Size.csv
310,134130,University of Florida,FLA,SEC,2001-2002,Basketball,Athletes,Scholarship Awards,22,11,11,7,4,3,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2002Size.csv
318,134130,University of Florida,FLA,SEC,2001-2002,Football,Athletes,Scholarship Awards,80,80,0,24,24,0,52,52,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,2002Size.csv
323,134130,University of Florida,FLA,SEC,2001-2002,Baseball,Athletes,Scholarship Awards,37,37,0,32,32,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0,2002Size.csv
328,134130,University of Florida,FLA,SEC,2001-2002,All other sports combined,Athletes,Scholarship Awards,158,52,106,114,32,82,13,1,12,5,3,2,1,1,0,0,0,0,4,1,3,21,14,7,2002Size.csv
248,134097,Florida State University,FSU,ACC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,61,31,30,33,16,17,24,14,10,1,0,1,0,0,0,2,0,2,0,0,0,1,1,0,2002Size.csv
249,134097,Florida State University,FSU,ACC,2001-2002,Football,Athletes,Scholarship Awards,87,87,0,17,17,0,67,67,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Size.csv
252,134097,Florida State University,FSU,ACC,2001-2002,Baseball,Athletes,Scholarship Awards,34,34,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Size.csv
255,134097,Florida State University,FSU,ACC,2001-2002,Basketball,Athletes,Scholarship Awards,26,13,13,9,3,6,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
277,134097,Florida State University,FSU,ACC,2001-2002,All other sports combined,Athletes,Scholarship Awards,143,47,96,115,42,73,13,2,11,12,3,9,2,0,2,0,0,0,0,0,0,1,0,1,2002Size.csv
208,131496,Georgetown University,GTOWN,BIGEAST,2001-2002,Baseball,Athletes,Scholarship Awards,10,10,0,6,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
216,131496,Georgetown University,GTOWN,BIGEAST,2001-2002,All other sports combined,Athletes,Scholarship Awards,120,55,65,104,47,57,4,1,3,3,1,2,3,2,1,1,1,0,2,2,0,3,1,2,2002Size.csv
228,131496,Georgetown University,GTOWN,BIGEAST,2001-2002,Football,Athletes,Scholarship Awards,16,16,0,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
231,131496,Georgetown University,GTOWN,BIGEAST,2001-2002,Basketball,Athletes,Scholarship Awards,31,17,14,6,4,2,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2002Size.csv
235,131496,Georgetown University,GTOWN,BIGEAST,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,38,17,21,25,10,15,10,4,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2002Size.csv
581,155399,Kansas State University,KAN.ST,BIG12,2001-2002,All other sports combined,Athletes,Scholarship Awards,115,9,106,103,9,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,2002Size.csv
598,155399,Kansas State University,KAN.ST,BIG12,2001-2002,Basketball,Athletes,Scholarship Awards,26,11,15,12,1,11,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2002Size.csv
618,155399,Kansas State University,KAN.ST,BIG12,2001-2002,Football,Athletes,Scholarship Awards,92,92,0,40,40,0,45,45,0,0,0,0,4,4,0,2,2,0,1,1,0,0,0,0,2002Size.csv
620,155399,Kansas State University,KAN.ST,BIG12,2001-2002,Baseball,Athletes,Scholarship Awards,35,35,0,28,28,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,2002Size.csv
630,155399,Kansas State University,KAN.ST,BIG12,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,53,26,27,27,11,16,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,2002Size.csv
635,157289,University of Louisville,LOUIS,BIGEAST,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,41,17,24,25,12,13,12,4,8,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2002Size.csv
642,157289,University of Louisville,LOUIS,BIGEAST,2001-2002,Basketball,Athletes,Scholarship Awards,27,13,14,6,0,6,16,10,6,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1,2002Size.csv
670,157289,University of Louisville,LOUIS,BIGEAST,2001-2002,Football,Athletes,Scholarship Awards,85,85,0,28,28,0,54,54,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
674,157289,University of Louisville,LOUIS,BIGEAST,2001-2002,All other sports combined,Athletes,Scholarship Awards,143,37,106,100,17,83,4,0,4,4,1,3,2,0,2,0,0,0,0,0,0,33,19,14,2002Size.csv
678,157289,University of Louisville,LOUIS,BIGEAST,2001-2002,Baseball,Athletes,Scholarship Awards,26,26,0,19,19,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2002Size.csv
681,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,49,21,28,11,5,6,26,8,18,0,0,0,0,0,0,0,0,0,2,1,1,10,7,3,2002Size.csv
687,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2001-2002,Basketball,Athletes,Scholarship Awards,22,10,12,1,0,1,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
688,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2001-2002,Football,Athletes,Scholarship Awards,87,87,0,22,22,0,64,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002Size.csv
693,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2001-2002,Baseball,Athletes,Scholarship Awards,35,35,0,34,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
706,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2001-2002,All other sports combined,Athletes,Scholarship Awards,150,41,109,117,30,87,3,0,3,3,1,2,1,0,1,0,0,0,0,0,0,26,10,16,2002Size.csv
540,152080,University of Notre Dame,ND,IND,2001-2002,Baseball,Athletes,Scholarship Awards,25,25,0,22,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2002Size.csv
547,152080,University of Notre Dame,ND,IND,2001-2002,Football,Athletes,Scholarship Awards,83,83,0,34,34,0,46,46,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,2002Size.csv
553,152080,University of Notre Dame,ND,IND,2001-2002,All other sports combined,Athletes,Scholarship Awards,219,78,141,189,63,126,1,0,1,9,3,6,4,2,2,0,0,0,0,0,0,16,10,6,2002Size.csv
557,152080,University of Notre Dame,ND,IND,2001-2002,Basketball,Athletes,Scholarship Awards,24,12,12,9,3,6,12,7,5,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2002Size.csv
565,152080,University of Notre Dame,ND,IND,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,41,19,22,20,11,9,13,4,9,2,1,1,0,0,0,0,0,0,0,0,0,6,3,3,2002Size.csv
781,181464,University of Nebraska-Lincoln,NEB,BIG10,2001-2002,All other sports combined,Athletes,Scholarship Awards,199,71,128,143,53,90,3,0,3,6,3,3,4,0,4,1,1,0,6,2,4,36,12,24,2002Size.csv
794,181464,University of Nebraska-Lincoln,NEB,BIG10,2001-2002,Baseball,Athletes,Scholarship Awards,42,42,0,40,40,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2002Size.csv
802,181464,University of Nebraska-Lincoln,NEB,BIG10,2001-2002,Basketball,Athletes,Scholarship Awards,29,14,15,16,8,8,12,6,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2002Size.csv
807,181464,University of Nebraska-Lincoln,NEB,BIG10,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,84,48,36,51,26,25,19,16,3,1,1,0,0,0,0,0,0,0,1,1,0,12,4,8,2002Size.csv
821,181464,University of Nebraska-Lincoln,NEB,BIG10,2001-2002,Football,Athletes,Scholarship Awards,112,112,0,66,66,0,30,30,0,0,0,0,5,5,0,0,0,0,7,7,0,4,4,0,2002Size.csv
490,147767,Northwestern University,NWST,BIG12,2001-2002,Football,Athletes,Scholarship Awards,89,89,0,41,41,0,38,38,0,4,4,0,0,0,0,1,1,0,2,2,0,3,3,0,2002Size.csv
504,147767,Northwestern University,NWST,BIG12,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
505,147767,Northwestern University,NWST,BIG12,2001-2002,Baseball,Athletes,Scholarship Awards,23,23,0,20,20,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2002Size.csv
512,147767,Northwestern University,NWST,BIG12,2001-2002,All other sports combined,Athletes,Scholarship Awards,190,62,128,160,54,106,6,1,5,4,2,2,7,2,5,0,0,0,4,1,3,9,2,7,2002Size.csv
524,147767,Northwestern University,NWST,BIG12,2001-2002,Basketball,Athletes,Scholarship Awards,26,12,14,14,3,11,8,5,3,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,2002Size.csv
1085,207500,University of Oklahoma Norman Campus,OK,BIG12,2001-2002,All other sports combined,Athletes,Scholarship Awards,125,52,73,90,34,56,5,4,1,5,3,2,1,0,1,7,4,3,8,2,6,9,5,4,2002Size.csv
1089,207500,University of Oklahoma Norman Campus,OK,BIG12,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,44,21,23,20,8,12,16,7,9,0,0,0,0,0,0,2,1,1,2,1,1,4,4,0,2002Size.csv
1092,207500,University of Oklahoma Norman Campus,OK,BIG12,2001-2002,Baseball,Athletes,Scholarship Awards,32,32,0,24,24,0,0,0,0,3,3,0,2,2,0,2,2,0,1,1,0,0,0,0,2002Size.csv
1097,207500,University of Oklahoma Norman Campus,OK,BIG12,2001-2002,Basketball,Athletes,Scholarship Awards,26,13,13,6,2,4,13,8,5,1,1,0,0,0,0,1,0,1,0,0,0,5,2,3,2002Size.csv
1109,207500,University of Oklahoma Norman Campus,OK,BIG12,2001-2002,Football,Athletes,Scholarship Awards,82,82,0,24,24,0,50,50,0,1,1,0,2,2,0,4,4,0,1,1,0,0,0,0,2002Size.csv
1031,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2001-2002,Football,Athletes,Scholarship Awards,84,84,0,38,38,0,40,40,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,0,2002Size.csv
1044,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,45,20,25,22,11,11,4,0,4,3,2,1,1,0,1,1,1,0,0,0,0,14,6,8,2002Size.csv
1051,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2001-2002,All other sports combined,Athletes,Scholarship Awards,127,38,89,85,20,65,4,3,1,4,1,3,0,0,0,10,6,4,0,0,0,24,8,16,2002Size.csv
1053,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2001-2002,Basketball,Athletes,Scholarship Awards,30,13,17,10,2,8,15,8,7,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,2002Size.csv
1055,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2001-2002,Baseball,Athletes,Scholarship Awards,38,38,0,32,32,0,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,2002Size.csv
1156,209551,University of Oregon,ORE,PAC12,2001-2002,Cross-country and/or track,Athletes,Scholarship Awards,51,25,26,34,17,17,7,4,3,2,0,2,1,1,0,0,0,0,2,1,1,5,2,3,2002Size.csv
