Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
Fred Boyd,Philadelphia 76ers,"$75,000 ",1972-1973,,,,,
Leroy Ellis,Philadelphia 76ers,"$75,000 ",1972-1973,,,,,
Dale Schlueter,Philadelphia 76ers,"$40,000 ",1972-1973,,,,,
David Sorenson,Philadelphia 76ers,"$75,000 ",1972-1973,,,,,
Corky Calhoun,Phoenix Suns,"$100,000 ",1972-1973,,,,,
Lamar Green,Phoenix Suns,"$33,000 ",1972-1973,,,,,
Dennis Layton,Phoenix Suns,"$45,000 ",1972-1973,,,,,
Rick Adelman,Portland Trail Blazers,"$55,000 ",1972-1973,,,,,
Charles Davis,Portland Trail Blazers,"$55,000 ",1972-1973,,,,,
Lloyd Neal,Portland Trail Blazers,"$45,000 ",1972-1973,,,,,
Gregory Smith,Portland Trail Blazers,"$69,000 ",1972-1973,,,,,
Larry Steele,Portland Trail Blazers,"$35,000 ",1972-1973,,,,,
Alfred Beard,Seattle Supersonics,"$50,000 ",1972-1973,,,,,
James Fox,Seattle Supersonics,"$70,000 ",1972-1973,,,,,
Spencer Haywood,Seattle Supersonics,"$152,000 ",1972-1973,,,,,
Dave Cowens,Boston Celtics,"$161,000 ",1973-1974,,,,,
Henry Finkel,Boston Celtics,"$61,000 ",1973-1974,,,,,
John Havlicek,Boston Celtics,"$250,000 ",1973-1974,,,,,
Steve Kuberski,Boston Celtics,"$75,000 ",1973-1974,,,,,
Donald Nelson,Boston Celtics,"$75,000 ",1973-1974,,,,,
Joseph White,Boston Celtics,"$125,000 ",1973-1974,,,,,
Robert Kauffman,Buffalo Braves,"$90,000 ",1973-1974,,,,,
Jim McMillan,Buffalo Braves,"$165,000 ",1973-1974,,,,,
Leroy Winfield,Buffalo Braves,"$60,000 ",1973-1974,,,,,
Rick Adelman,Chicago Bulls,"$65,000 ",1973-1974,,,,,
Rowland Garrett,Chicago Bulls,"$45,000 ",1973-1974,,,,,
Robert Love,Chicago Bulls,"$75,000 ",1973-1974,,,,,
Chester Walker,Chicago Bulls,"$165,000 ",1973-1974,,,,,
Robert Weiss,Chicago Bulls,"$85,000 ",1973-1974,,,,,
Barry Clemens,Cleveland Cavaliers,"$50,000 ",1973-1974,,,,,
Steve Patterson,Cleveland Cavaliers,"$75,000 ",1973-1974,,,,,
Bobby Rule,Cleveland Cavaliers,"$95,000 ",1973-1974,,,,,
Leonard Wilkens,Cleveland Cavaliers,"$100,000 ",1973-1974,,,,,
Don Adams,Detroit Pistons,"$90,000 ",1973-1974,,,,,
Chris Ford,Detroit Pistons,"$80,000 ",1973-1974,,,,,
Stuart Lantz,Detroit Pistons,"$100,000 ",1973-1974,,,,,
Willie Norwood,Detroit Pistons,"$65,000 ",1973-1974,,,,,
Curtis Rowe,Detroit Pistons,"$110,000 ",1973-1974,,,,,
