,date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
33401,3/3/03,Adam Eaton,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33402,3/3/03,Brian Buchanan,2003,Padres,signed to a 1-year contract,free agency,0,1,2003,2004,,2003
33403,3/3/03,Dennis Tankersley,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33406,3/3/03,Jake Peavy,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33407,3/3/03,Luther Hackman,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33408,3/3/03,Michael Nicolas,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33409,3/3/03,Mike Rivera,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33410,3/3/03,Oliver Perez,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33411,3/3/03,Ramon Vazquez,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33412,3/3/03,Sean Burroughs,2003,Padres,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33413,3/3/03,Brad Harman,2003,Phillies,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33414,3/3/03,Jimmy Rollins,2003,Phillies,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33416,3/3/03,Aaron Myette,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33417,3/3/03,Alex Escobar,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33418,3/3/03,Alex Herrera,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33419,3/3/03,Ben Broussard,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33420,3/3/03,Brandon Phillips,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33421,3/3/03,Brian Tallet,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33422,3/3/03,Carl Sadler,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33423,3/3/03,Fernando Cabrera,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33424,3/3/03,Francisco Cruceta,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33425,3/3/03,Jason Davis,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33426,3/3/03,Jerrod Riggan,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33427,3/3/03,Jhonny Peralta,2003,Indians,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33429,3/4/03,Danny Borrell,2003,Yankees,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33430,3/5/03,Brian Schneider,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33431,3/5/03,Jim Brower,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33432,3/5/03,Peter Bergeron,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33433,3/5/03,Pedro Feliz,2003,Giants,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33434,3/5/03,Chris Reitsma,2003,Reds,re-signed,re-signinging,0,1,2003,2004,,2003
33435,3/5/03,Ruben Mateo,2003,Reds,re-signed,re-signinging,0,1,2003,2004,,2003
33436,3/5/03,Samuel Deduno,2003,Rockies,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33438,3/5/03,Andy Phillips,2003,Yankees,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33439,3/5/03,Chien-Ming Wang,2003,Yankees,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33445,3/6/03,Tomokazu Ohka,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33448,3/7/03,Brian Lawrence,2003,Padres,re-signed to a 4-year contract with a team option for 2007,re-signinging,0,4,2003,2007,,2003
33450,3/7/03,Anastacio Martinez,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33451,3/7/03,Andy Shibilo,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33452,3/7/03,Angel Santos,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33453,3/7/03,Brandon Lyon,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33454,3/7/03,Casey Fossum,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33455,3/7/03,Cesar Crespo,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33456,3/7/03,Earl Snyder,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33457,3/7/03,Freddy Sanchez,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33458,3/7/03,Javier Lopez,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33459,3/7/03,Jorge De La Rosa,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33460,3/7/03,Matt White,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33461,3/7/03,Shea Hillenbrand,2003,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33462,3/7/03,Russell Branyan,2003,Reds,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33466,3/7/03,Rocky Biddle,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33468,3/8/03,Jason Dubois,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33469,3/8/03,Jayson Werth,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33470,3/8/03,Ken Huckaby,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33471,3/8/03,Mark Hendrickson,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33472,3/8/03,Orlando Hudson,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33473,3/8/03,Pasqual Coco,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33474,3/8/03,Tom Wilson,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33475,3/8/03,Vinnie Chulk,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33476,3/8/03,Vinny Chulk,2003,Blue Jays,re-signed,re-signinging,0,1,2003,2004,,2003
33477,3/8/03,Michael Smith,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33479,3/8/03,Aquilino Lopez,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33480,3/8/03,Diegomar Markwell,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33481,3/8/03,Dominic Rich,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33482,3/8/03,Francisco Rosario,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33483,3/8/03,Gary Majewski,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33484,3/8/03,Guillermo Quiroz,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33485,3/9/03,Brad Wilkerson,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33486,3/9/03,Scott Stewart,2003,Expos,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33487,3/10/03,Albert Pujols,2003,Cardinals,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33496,3/11/03,Alex Rios,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33497,3/11/03,Bob File,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33498,3/11/03,Eric Hinske,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33499,3/11/03,Vernon Wells,2003,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
33511,3/12/03,Kenny Rogers,2003,Twins,signed free agent (from Rangers) to a 1-year contract,free agency,0,1,2003,2004,,2003
33525,3/14/03,Kenny Lofton,2003,Pirates,signed free agent to a 1-year contract,free agency,0,1,2003,2004,,2003
33536,3/17/03,Eric Hinske,2003,Blue Jays,re-signed to a 5-year contract through 2007,re-signinging,0,5,2003,2007,,2003
33537,3/17/03,Vernon Wells,2003,Blue Jays,re-signed to a 5-year contract through 2007,re-signinging,0,5,2003,2007,,2003
33548,3/18/03,Luis Gonzalez,2003,Diamondbacks,re-signed to a 3-year contract extension through 2006,re-signinging,0,3,2003,2006,,2003
33551,3/19/03,Lee Gardner,2003,Giants,signed free agent,free agency,0,1,2003,2004,,2003
33555,3/20/03,Jairo Cuevas,2003,Braves,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33560,3/21/03,Scott Strickland,2003,Mets,re-signed to a 1-year contract (SN),re-signinging,0,1,2003,2004,,2003
33579,3/24/03,Randy Johnson,2003,Diamondbacks,re-signed to a 2-year contract extension through 2005,re-signinging,0,2,2003,2005,,2003
33583,3/24/03,Mauro Gomez,2003,Rangers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33622,3/28/03,Giovanni Carrara,2003,Mariners,signed free agent to a 1-year contract,free agency,0,1,2003,2004,,2003
33634,3/28/03,Al Martin,2003,Devil Rays,signed free agent,free agency,0,1,2003,2004,,2003
33639,3/28/03,Mike Venafro,2003,Devil Rays,signed free agent,free agency,0,1,2003,2004,,2003
33643,3/29/03,Terry Shumpert,2003,Devil Rays,signed free agent to a 1-year contract,free agency,0,1,2003,2004,,2003
33659,4/1/03,,2003,,signed as a free agent by the Oaxaca (Mexican League),free agency,0,1,2003,2004,,2003
33663,4/2/03,Damion Easley,2003,Devil Rays,signed free agent,free agency,0,1,2003,2004,,2003
33665,4/2/03,Cristhian Martinez,2003,Tigers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33685,4/10/03,Shane Reynolds,2003,Braves,signed free agent to a 1-year contract with a mutual option for 2004,free agency,0,1,2003,2004,,2003
33703,4/23/03,Luis Perdomo,2003,Indians,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33716,4/29/03,Luke Carlin,2003,Padres,signed free agent (from Tigers),free agency,0,1,2003,2004,,2003
33725,5/1/03,,2003,,signed by Winnipeg (Independent - Northern League),free agency,0,1,2003,2004,,2003
33726,5/1/03,,2003,,signed by Quebec (Northeast League),free agency,0,1,2003,2004,,2003
33728,5/1/03,,2003,Cubs,signed by St. Paul (Northen league),free agency,0,1,2003,2004,,2003
33752,5/8/03,Pablo Sandoval,2003,Giants,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33753,5/8/03,John Bale,2003,Reds,signed free agent,free agency,0,1,2003,2004,,2003
33765,5/12/03,Freddy Dolsi,2003,Tigers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33772,5/15/03,Ryan McKellar,2003,Astros,signed,free agency,0,1,2003,2004,,2003
33773,5/15/03,Julio Lugo,2003,Devil Rays,signed free agent to a 1-year contract with a team option for 2004,free agency,0,1,2003,2004,,2003
33775,5/15/03,Rob Cucinotta,2003,Red Sox,signed,free agency,0,1,2003,2004,,2003
33776,5/15/03,Matt DeSalvo,2003,Yankees,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33778,5/15/03,Brendon Davis,2003,Astros,signed,free agency,0,1,2003,2004,,2003
33779,5/15/03,Raymar Diaz,2003,Astros,signed,free agency,0,1,2003,2004,,2003
33780,5/16/03,Wladimir Sutil,2003,Astros,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33782,5/17/03,Miguel Ojeda,2003,Padres,signed,free agency,0,1,2003,2004,,2003
33787,5/20/03,Nick Pesco,2003,Indians,signed,free agency,0,1,2003,2004,,2003
33789,5/22/03,Jair Jurrjens,2003,Tigers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33795,5/25/03,Steve Schmoll,2003,Dodgers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33803,5/27/03,Evan Meek,2003,Twins,signed free agent,free agency,0,1,2003,2004,,2003
33815,5/29/03,Reid Santos,2003,Indians,signed,free agency,0,1,2003,2004,,2003
33827,6/2/03,Forrest Martin,2003,Brewers,signed,free agency,0,1,2003,2004,,2003
33830,6/2/03,Rod Beck,2003,Padres,signed free agent,free agency,0,1,2003,2004,,2003
33831,6/2/03,Brian Rauch,2003,Brewers,signed,free agency,0,1,2003,2004,,2003
33896,6/3/03,Randor Bierd,2003,Orioles,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
33973,6/3/03,Enrique Cruz,2003,Brewers,re-signed to a 2-year contract extension,re-signinging,0,2,2003,2005,,2003
35350,6/7/03,Carl Loadenthal,2003,Braves,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35356,6/7/03,Eric Brandon,2003,Twins,signed,free agency,0,1,2003,2004,,2003
35357,6/7/03,Matt Samuels,2003,Twins,signed,free agency,0,1,2003,2004,,2003
35362,6/8/03,Clark Giardeau,2003,Padres,signed,free agency,0,1,2003,2004,,2003
35367,6/8/03,Jeff Liese,2003,Padres,signed,free agency,0,1,2003,2004,,2003
35414,6/10/03,Robert Huddleston,2003,Tigers,signed,free agency,0,1,2003,2004,,2003
35418,6/10/03,Heath Anderson,2003,Twins,signed,free agency,0,1,2003,2004,,2003
35431,6/10/03,John Valentin,2003,Phillies,signed free agent to a AAA contract,free agency,0,1,2003,2004,,2003
35432,6/10/03,B.J. Borsa,2003,Reds,signed,free agency,0,1,2003,2004,,2003
35488,6/12/03,Greg Najac,2003,Twins,signed,free agency,0,1,2003,2004,,2003
35506,6/13/03,Thomas Pauly,2003,Reds,signed,free agency,0,1,2003,2004,,2003
35530,6/17/03,Randy Keisler,2003,Rangers,signed,free agency,0,1,2003,2004,,2003
35535,6/17/03,Matt Vasquez,2003,Tigers,signed,free agency,0,1,2003,2004,,2003
35538,6/17/03,Cliff Davis,2003,Astros,signed,free agency,0,1,2003,2004,,2003
35540,6/17/03,Juan Acevedo,2003,Blue Jays,signed free agent,free agency,0,1,2003,2004,,2003
35560,6/17/03,Travis Smith,2003,Giants,signed,free agency,0,1,2003,2004,,2003
35569,6/20/03,Ryan Marion,2003,Brewers,signed,free agency,0,1,2003,2004,,2003
35583,6/22/03,Craig Whitaker,2003,Giants,signed,free agency,0,1,2003,2004,,2003
35584,6/22/03,Mike Wagoner,2003,Giants,signed,free agency,0,1,2003,2004,,2003
35585,6/22/03,Todd Jennings,2003,Giants,signed,free agency,0,1,2003,2004,,2003
35586,6/22/03,Dante Brinkley,2003,Mets,signed,free agency,0,1,2003,2004,,2003
35589,6/22/03,Blake Balkcom,2003,Angels,signed,free agency,0,1,2003,2004,,2003
35598,6/25/03,Brantley Jordan,2003,Cardinals,signed,free agency,0,1,2003,2004,,2003
35599,6/25/03,Chris Tuttle,2003,Cardinals,signed,free agency,0,1,2003,2004,,2003
35600,6/25/03,Kainoa Obrey,2003,Cardinals,signed,free agency,0,1,2003,2004,,2003
35607,6/25/03,Cory Doyne,2003,Padres,signed free agent,free agency,0,1,2003,2004,,2003
35639,7/2/03,Melky Mesa,2003,Yankees,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35641,7/2/03,Todd Jones,2003,Red Sox,signed free agent (from Rockies),free agency,0,1,2003,2004,,2003
35645,7/2/03,Kyle Boyer,2003,Cubs,signed,free agency,0,1,2003,2004,,2003
35649,7/2/03,Marwin Vega,2003,Mariners,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35654,7/3/03,Jimmy Barthmeier,2003,Astros,signed,free agency,0,1,2003,2004,,2003
35658,7/4/03,Al Alburquerque,2003,Cubs,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35670,7/8/03,Jackson Quezada,2003,Padres,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35676,7/9/03,Jonnathan Aristil,2003,Rockies,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35677,7/9/03,Juan Abreu,2003,Royals,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35679,7/9/03,Alcides Escobar,2003,Brewers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35681,7/10/03,Dustin Hermanson,2003,Giants,signed free agent,free agency,0,1,2003,2004,,2003
35685,7/10/03,Esmil Rogers,2003,Rockies,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35696,7/12/03,Mickey Hall,2003,Red Sox,signed,free agency,0,1,2003,2004,,2003
35703,7/14/03,Julio Cesar Pimentel,2003,Dodgers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35704,7/14/03,Rickey Henderson,2003,Dodgers,signed free agent to a 1-year contract,free agency,0,1,2003,2004,,2003
35709,7/16/03,Ehren Wassermann,2003,White Sox,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35711,7/17/03,Robert Wooley,2003,Brewers,signed,free agency,0,1,2003,2004,,2003
35712,7/18/03,Henry Rodriguez,2003,Athletics,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35723,7/21/03,Luis Durango,2003,Padres,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35724,7/21/03,Juan Rivera,2003,Dodgers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35729,7/22/03,Argenis Diaz,2003,Red Sox,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35739,7/25/03,Scott Hatteberg,2003,Athletics,re-signed to a 2-year contract extension through 2005 with a team option for 2006,re-signinging,0,2,2003,2005,team option for 2006,2003
35740,7/25/03,Pedro Borbon Jr.,2003,Cardinals,signed free agent,free agency,0,1,2003,2004,,2003
35772,7/30/03,Luis Perez,2003,Blue Jays,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35803,8/6/03,Kevin Appier,2003,Royals,signed free agent for the remainder of the 2003 season,free agency,0,1,2003,2004,,2003
35817,8/8/03,Mark Loretta,2003,Padres,re-signed to a 2-year contract extension with an option for 2006,re-signinging,0,2,2003,2005,,2003
35818,8/8/03,Jason Hill,2003,Reds,signed free agent,free agency,0,1,2003,2004,,2003
35822,8/9/03,Horacio Estrada,2003,Twins,signed,free agency,0,1,2003,2004,,2003
35825,8/11/03,Jeff Jorgensen,2003,Astros,signed,free agency,0,1,2003,2004,,2003
35826,8/11/03,Vincent Sinisi,2003,Rangers,signed,free agency,0,1,2003,2004,,2003
35827,8/11/03,Shane Lindsay,2003,Rockies,signed free agent,free agency,0,1,2003,2004,,2003
35830,8/12/03,Jeremy Accardo,2003,Giants,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35834,8/14/03,Rick White,2003,Astros,signed free agent,free agency,0,1,2003,2004,,2003
35838,8/15/03,Andrew Shipman,2003,Red Sox,signed undrafted free agent,free agency,0,1,2003,2004,,2003
35839,8/15/03,Michael Coleman,2003,Reds,signed,free agency,0,1,2003,2004,,2003
35859,8/20/03,Todd Zeile,2003,Expos,signed freee agent,free agency,0,1,2003,2004,,2003
35870,8/21/03,Rick Helling,2003,Marlins,signed free agent (from Orioles),free agency,0,1,2003,2004,,2003
35876,8/23/03,Joel Naughton,2003,Phillies,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35889,8/26/03,Gregg Zaun,2003,Rockies,signed free agent,free agency,0,1,2003,2004,,2003
35913,9/1/03,Jeff Conine,2003,Marlins,re-signed to a ccontract extension through 2005,re-signinging,0,1,2003,2005,,2003
35914,9/1/03,Luis Sojo,2003,Yankees,signed,free agency,0,1,2003,2004,,2003
35918,9/2/03,Jamie Hoffmann,2003,Dodgers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35919,9/2/03,Jose Mercedes,2003,Expos,signed for the remainder of the season,free agency,0,1,2003,2004,,2003
35939,9/13/03,Winston Marquez,2003,Twins,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35943,9/28/03,Barry Larkin,2003,Reds,re-signed to a 1-year contract,re-signinging,0,1,2003,2004,,2003
35951,9/30/03,Ismael Carmona,2003,Angels,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
35959,9/30/03,Rhiner Cruz,2003,Tigers,signed non-drafted free agent,free agency,0,1,2003,2004,,2003
36000,10/13/03,Anthony Ortega,2004,Angels,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36013,10/15/03,Ron Mahay,2004,Rangers,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36027,10/17/03,Jose Ortegano,2004,Braves,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36030,10/17/03,Tim Laker,2004,Indians,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36053,10/21/03,Wilfrido Perez,2004,Orioles,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36068,10/27/03,Travis Phelps,2004,Brewers,signed free agent (from Braves),free agency,0,1,2004,2005,,2003
36075,10/27/03,Greg Myers,2004,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36077,10/27/03,Billy Sylvester,2004,Rangers,signed free agent to a 1-year AAA contract and invited to spring training,free agency,0,1,2004,2005,,2003
36078,10/27/03,Erik Sabel,2004,Rangers,signed free agent to a 1-year AAA contract and invited to spring training,free agency,0,1,2004,2005,,2003
36083,10/28/03,Frank Catalanotto,2004,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36092,10/29/03,Jamie Walker,2004,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36109,10/30/03,Brandon Berger,2004,Royals,re-signed to a minor legaue contract and invited to spring training,re-signinging,0,1,2004,2005,,2003
36130,10/31/03,Joe Dawley,2004,Royals,signed free agent (from Braves),free agency,0,1,2004,2005,,2003
36138,10/31/03,Waldis Joaquin,2004,Giants,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36154,11/4/03,Edgar Martinez,2004,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36179,11/5/03,Brian Gordon,2004,Angels,signed free agent,free agency,0,1,2004,2005,,2003
36182,11/5/03,Alberto Castillo,2004,Giants,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36195,11/7/03,Pierre Arsenault,2004,Marlins,re-signed as bullpen coordinator,re-signinging,0,1,2004,2005,,2003
36221,11/10/03,Dan Miceli,2004,Astros,re-signed free agent to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36246,11/14/03,Mike Timlin,2004,Red Sox,re-signed to a 1-year contract with a team option for 2005,re-signinging,0,1,2004,2005,,2003
36257,11/14/03,John Halama,2004,Devil Rays,signed free agent (from Athletics) to a 1-year contract,free agency,0,1,2004,2005,,2003
36258,11/14/03,Paul Abbott,2004,Devil Rays,signed free agent (from Royals) to a 1-year contract,free agency,0,1,2004,2005,,2003
36264,11/14/03,Tom Martin,2004,Dodgers,re-signed free agent to a 2-year contract,re-signinging,0,2,2004,2006,,2003
36267,11/14/03,Danny Sandoval,2004,Phillies,signed free agent,free agency,0,1,2004,2005,,2003
36270,11/17/03,Jose Vizcaino,2004,Astros,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36275,11/18/03,Pat Hentgen,2004,Blue Jays,"signed free agent to a 1-year, $2.2M contract",free agency,2.2,1,2004,2005,,2003
36282,11/18/03,Duaner Sanchez,2004,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36283,11/18/03,Nelson Figueroa,2004,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36294,11/19/03,Brad Ausmus,2004,Astros,re-signed free agent to a 2-year contract,re-signinging,0,2,2004,2006,,2003
36298,11/19/03,Milton Bradley,2004,Indians,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36299,11/19/03,Raul Ibanez,2004,Mariners,signed free agent to a 3-year contract,free agency,0,3,2004,2007,,2003
36305,11/20/03,Mark Bellhorn,2004,Rockies,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36316,11/20/03,Tim Hamulack,2004,Red Sox,signed free agent (from Mariners),free agency,0,1,2004,2005,,2003
36323,11/20/03,Pedro Figueroa,2004,Athletics,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36347,11/21/03,Kevin Appier,2004,Royals,re-signed free agent to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36349,11/21/03,Greg Halman,2004,Twins,signed non-drafted free agent,free agency,0,1,2004,2005,,2003
36350,11/24/03,Kelvim Escobar,2004,Angels,signed free agent to a 3-year contract,free agency,0,3,2004,2007,,2003
36366,11/24/03,Jon Garland,2004,White Sox,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36372,11/25/03,Carlos Carrasco,2004,Phillies,signed undrafted free agent,free agency,0,1,2004,2005,,2003
36381,11/26/03,Brian Anderson,2004,Royals,re-signed free agent to a 2-year contract,re-signinging,0,2,2004,2006,,2003
36382,11/26/03,Curtis Leskanic,2004,Royals,re-signed free agent to a 1-year contract with an option,re-signinging,0,1,2004,2005,,2003
36383,11/26/03,Joe Randa,2004,Royals,re-signed free agent to a 1-year contract with an option,re-signinging,0,1,2004,2005,,2003
36384,11/26/03,Sandy Alomar Jr.,2004,White Sox,"re-signed to a 1-year, $750K contract with a 1-year team option for 2005",re-signinging,0,1,2004,2005,,2003
36393,12/1/03,Chris Carpenter,2004,Cardinals,re-signed to a 1-year contract with a 1-year team option for 2005,re-signinging,0,1,2004,2005,,2003
36395,12/1/03,Luis Castillo,2004,Marlins,re-signed to a 3-year contract through 2006 with a 1-year option for 2007,re-signinging,0,3,2004,2006,1-year option for 2007,2003
36396,12/1/03,Abraham Nunez,2004,Pirates,"re-signed to a 1-year, $625K contract",re-signinging,0,1,2004,2005,,2003
36397,12/1/03,Aaron Boone,2004,Yankees,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36399,12/1/03,Tom Gordon,2004,Yankees,signed free agent (from White Sox) (date 12-23 per SN),free agency,0,1,2004,2005,,2003
36401,12/2/03,Dustin Hermanson,2004,Giants,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36402,12/2/03,Kevin Walker,2004,Padres,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36405,12/2/03,Enrique Wilson,2004,Yankees,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36408,12/3/03,,2004,Dodgers,signed by Hanshin Tigers (Japan),free agency,0,1,2004,2005,,2003
36409,12/3/03,Jeffrey Hammonds,2004,Giants,re-signed free agent to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36410,12/3/03,Mike Lowell,2004,Marlins,re-signed to a contract through 2007,re-signinging,0,1,2004,2007,,2003
36413,12/3/03,Brian Meadows,2004,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
36415,12/3/03,Felix Heredia,2004,Yankees,re-signed free agent to a 2-year contract through 2005 with a 1-year team option for 2006,re-signinging,0,2,2004,2005,1-year team option for 2006,2003
36419,12/3/03,LaTroy Hawkins,2004,Cubs,signed free agent (from Twins) to a 2-year contract with a 1-year player option for 2006,free agency,0,2,2004,2006,,2003
36423,12/4/03,Chris Widger,2004,Cardinals,re-signed to a 1-year contract,re-signinging,0,1,2004,2005,,2003
